|hashtag|dayOfTweet|approxLocation|usersPerHashtag|spamEvent|std|compound|area
0|#ff|2012-11-02|('47.260', '6.012')|64|False|264.7729777726|0.495525|Bourgogne Franche-Comté
1|#ff|2012-11-09|('45.992', '8.949')|61|False|269.4467286122|0.5129111111|TI
2|#ff|2012-08-31|('46.205', '6.143')|59|False|275.7083956701|0.5641|GE
3|#ff|2012-05-11|('47.190', '9.614')|58|False|288.2071018475|0.0889111111|Vorarlberg
4|#ff|2012-07-13|('46.017', '8.958')|58|False|283.7730639296|0.4313666667|TI
5|#ff|2012-11-16|('47.221', '5.974')|57|False|282.038752597|0.20232|Bourgogne Franche-Comté
6|#ff|2012-06-15|('46.169', '9.880')|57|False|265.9036795286|0.1713666667|Lombardia
7|#ff|2012-04-20|('46.147', '6.082')|56|False|326.319920951|0.4114333333|Auvergne-Rhône-Alpes
8|#ff|2012-11-23|('46.434', '9.040')|56|False|271.0949820267|0.12945|TI
9|#ff|2012-06-22|('45.988', '8.954')|55|False|326.24576593|0.0299|TI
10|#ff|2012-06-08|('46.198', '6.197')|54|False|273.4786250631|0.1820125|GE
11|#ff|2012-05-25|('47.190', '9.614')|54|False|253.817669139|0.34255|Vorarlberg
12|#ff|2012-08-10|('45.988', '8.954')|53|False|289.5085393045|0.2378333333|TI
13|#ff|2012-07-27|('46.472', '7.125')|53|False|288.5583782264|0.26776|VD
14|#ff|2012-06-29|('47.560', '7.583')|53|False|273.8214263476|0.21072|BS
15|#ff|2012-12-07|('46.528', '6.572')|52|False|298.2946856399|0.4389|VD
16|#ff|2012-10-05|('46.017', '8.959')|52|False|288.7694842377|0|TI
17|#ff|2012-10-19|('47.235', '6.033')|52|False|257.2151160834|0.1581|Bourgogne Franche-Comté
18|#ff|2012-07-06|('45.793', '9.063')|52|False|241.5382903127|0.0257333333|Lombardia
19|#ff|2012-09-21|('46.003', '8.960')|52|False|239.7344644577|0.2093|TI
20|#ff|2012-08-17|('47.480', '8.525')|51|False|311.6038585254|0.80785|ZH
