|hashtag|dayOfTweet|usersPerHashtag|spamEvent|std|approxLocation
0|#nma|2013-12-14|127|False|84.67116421022021|('47.262', '6.032')
1|#nma|2013-01-26|104|False|82.03725305353318|('46.221', '6.109')
2|#ss7|2013-06-07|63|False|76.7981020215055|('45.914', '6.631')
3|#lt|2013-05-06|62|False|321.7312238218088|('46.187', '6.199')
4|#missfrance2014|2013-12-07|60|False|78.52069667164666|('46.280', '7.505')
5|#lrt|2013-06-23|59|False|341.3702541785461|('46.527', '6.612')
6|#lt|2013-05-12|59|False|333.1269890722822|('46.186', '6.199')
7|#lt|2013-05-14|59|False|312.06027860398984|('46.187', '6.199')
8|#lt|2013-05-04|59|False|308.47665381332985|('46.169', '6.119')
9|#lrt|2013-06-09|59|False|279.4359766116358|('46.216', '6.146')
10|#lrt|2013-12-25|58|False|430.9885019602332|('46.193', '6.241')
11|#lt|2013-06-19|58|False|316.074278724186|('46.234', '6.080')
12|#lt|2013-05-05|58|False|310.91338002706226|('46.201', '6.104')
13|#lt|2013-05-01|58|False|254.82988172266565|('46.189', '6.137')
14|#lt|2013-04-27|57|False|375.9722081449617|('46.187', '6.199')
15|#lt|2013-05-08|57|False|351.38675390827706|('46.187', '6.199')
16|#lt|2013-05-02|56|False|334.98158354033137|('46.189', '6.137')
17|#lrt|2013-12-01|56|False|307.4042277449698|('47.755', '7.310')
18|#lt|2013-05-29|55|False|318.9961780137976|('46.164', '6.280')
19|#lrt|2013-05-20|55|False|292.9254909381607|('46.246', '6.133')
20|#lt|2013-06-02|55|False|286.53518722281865|('46.397', '6.579')
21|#lt|2013-04-28|55|False|270.29797117836546|('46.187', '6.199')
22|#lt|2013-10-29|54|False|390.81116651903744|('47.535', '6.839')
23|#lt|2013-06-20|54|False|354.72093363747155|('46.170', '6.119')
24|#lrt|2013-12-22|54|False|350.70190419100726|('45.789', '6.547')
25|#lrt|2013-05-06|54|False|295.76346466037853|('46.187', '6.199')
26|#lt|2013-06-11|53|False|341.5906878291265|('46.229', '6.124')
27|#lt|2013-06-17|53|False|329.7575581988674|('46.799', '6.746')
