|hashtag|dayOfTweet|approxLocation|usersPerHashtag|spamEvent|std|compound|area
0|#tedxzh|2010-10-20|('47.383', '8.536')|5|False|178.5058860599|0.31859375|ZH
1|#gotthard|2010-10-15|('47.567', '7.597')|4|False|159.2507863316|-0.14714|BS
2|#esc|2010-05-29|('47.162', '8.291')|4|False|61.5859523213|0.33944375|LU
3|#fb|2010-10-07|('46.289', '7.972')|3|False|257.9481669135|0.0781|VS
4|#tedxgeneva|2010-12-06|('46.194', '6.154')|2|False|153.5969186621|0.3266|GE
5|#ff|2010-12-03|('47.588', '9.624')|2|False|105.3228631473|0.4149166667|Bayern
