|hashtag|dayOfTweet|usersPerHashtag|spamEvent|std|approxLocation
0|#ff|2012-11-02|64|False|264.7729777725802|('47.260', '6.012')
1|#ff|2012-11-09|61|False|269.44672861221227|('45.992', '8.949')
2|#ff|2012-08-31|59|False|275.70839567009455|('46.205', '6.143')
3|#ff|2012-05-11|58|False|288.2071018474753|('47.190', '9.614')
4|#ff|2012-07-13|58|False|283.7730639296214|('46.017', '8.958')
5|#ff|2012-11-16|57|False|282.0387525969766|('47.221', '5.974')
6|#ff|2012-06-15|57|False|265.903679528558|('46.169', '9.880')
7|#ff|2012-04-20|56|False|326.31992095100946|('46.147', '6.082')
8|#ff|2012-11-23|56|False|271.0949820267304|('46.434', '9.040')
9|#ff|2012-06-22|55|False|326.24576592995135|('45.988', '8.954')
10|#ff|2012-06-08|54|False|273.4786250630941|('46.198', '6.197')
11|#ff|2012-05-25|54|False|253.81766913901347|('47.190', '9.614')
12|#ff|2012-08-10|53|False|289.5085393045012|('45.988', '8.954')
13|#ff|2012-07-27|53|False|288.5583782264203|('46.472', '7.125')
14|#ff|2012-06-29|53|False|273.8214263476107|('47.560', '7.583')
15|#ff|2012-12-07|52|False|298.29468563986063|('46.528', '6.572')
16|#ff|2012-10-05|52|False|288.76948423774706|('46.017', '8.959')
17|#ff|2012-10-19|52|False|257.2151160834039|('47.235', '6.033')
18|#ff|2012-07-06|52|False|241.53829031273688|('45.793', '9.063')
19|#ff|2012-09-21|52|False|239.73446445772151|('46.003', '8.960')
20|#ff|2012-08-17|51|False|311.60385852535177|('47.480', '8.525')
21|#ff|2012-08-24|51|False|305.61599093782405|('46.434', '9.040')
22|#ff|2012-09-28|51|False|256.973375809125|('45.800', '9.084')
23|#ff|2012-10-26|50|False|285.60854947609585|('46.016', '8.957')
24|#ff|2012-08-03|50|False|238.35289090745601|('47.221', '5.974')
25|#ff|2012-05-04|49|False|262.3694132948544|('46.109', '7.122')
26|#ff|2012-12-14|49|False|237.42195324409988|('46.341', '6.394')
27|#ff|2012-05-18|49|False|232.0281628366338|('47.253', '6.000')
28|#euro2012|2012-07-01|49|False|122.19660603795198|('47.779', '7.286')
29|#ff|2012-06-01|48|False|305.3737170006388|('46.003', '8.960')
30|#ff|2012-10-12|48|False|293.52628544287694|('45.937', '8.573')
31|#ff|2012-11-30|48|False|258.2343160494199|('45.937', '8.574')
32|#ff|2012-07-20|45|False|280.20036589006554|('46.016', '8.957')
33|#ff|2012-12-28|43|False|245.29396423050937|('46.137', '6.088')
34|#ff|2012-12-21|42|False|252.9591365858768|('46.341', '6.394')
35|#redbullstratos|2012-10-14|41|False|77.87377112912033|('46.193', '6.227')
36|#closingceremony|2012-08-12|40|False|61.25188592713063|('45.859', '6.638')
37|#euro2012|2012-06-28|39|False|154.8379951828009|('46.524', '6.866')
38|#lt|2012-12-28|38|False|435.02765812455345|('46.201', '6.092')
39|#euro2012|2012-06-08|38|False|175.6313327113827|('46.205', '6.143')
40|#euro2012|2012-06-24|36|False|78.71587541006402|('47.564', '7.593')
41|#halloween|2012-10-31|35|False|268.2564954259323|('45.950', '7.956')
42|#lt|2012-12-03|35|False|229.56990896965323|('46.523', '6.591')
43|#london2012|2012-07-27|34|False|201.00432451854465|('45.757', '9.854')
44|#euro2012|2012-06-27|34|False|162.44350019578465|('46.282', '6.946')
45|#ledebat|2012-05-02|34|False|49.55129887908343|('47.866', '7.223')
46|#lt|2012-12-24|33|False|375.71664845776195|('46.201', '6.092')
47|#terremoto|2012-05-29|33|False|262.8207833731164|('45.800', '9.084')
48|#missfrance2013|2012-12-08|33|False|50.938721504004015|('47.521', '6.666')
49|#euro2012|2012-06-11|31|False|99.22217971844512|('47.795', '7.379')
50|#starac|2012-12-06|31|False|72.38003761788886|('47.260', '6.012')
51|#euro2012|2012-06-19|31|False|65.00595194508205|('47.260', '6.012')
52|#lt|2012-12-27|30|False|406.3838890605839|('46.984', '6.879')
53|#lt|2012-11-26|30|False|396.48168453585885|('46.524', '6.589')
54|#lt|2012-12-20|30|False|347.8755892478664|('46.201', '6.092')
55|#lt|2012-11-12|30|False|294.289862958565|('46.220', '6.116')
56|#eurovision|2012-05-26|30|False|53.79207518921112|('47.563', '7.787')
57|#lt|2012-11-18|29|False|382.75076777361295|('46.203', '6.096')
58|#lt|2012-12-19|29|False|297.5542146512264|('46.211', '6.137')
59|#lt|2012-10-30|29|False|238.08533811353794|('46.544', '6.625')
60|#ss6|2012-08-03|29|False|90.61491129508873|('47.484', '6.925')
61|#lt|2012-11-14|28|False|249.74528069746336|('46.523', '6.591')
62|#lt|2012-12-09|27|False|330.9062940051272|('46.201', '6.129')
63|#lt|2012-11-07|27|False|240.0462822301871|('46.523', '6.591')
64|#ema|2012-11-11|27|False|51.823951243712266|('46.194', '6.144')
65|#lt|2012-12-26|26|False|488.77318163873366|('46.984', '6.879')
66|#lt|2012-12-30|26|False|379.2823222636032|('46.190', '6.110')
67|#np|2012-12-27|26|False|343.0377338685797|('46.219', '6.111')
68|#lt|2012-11-11|26|False|263.41547814242045|('46.203', '6.096')
69|#euro2012|2012-06-18|26|False|188.78082032896097|('45.815', '8.836')
70|#euro2012|2012-06-13|26|False|133.11012650157443|('46.282', '6.946')
71|#lt|2012-12-23|25|False|392.0451576978709|('46.523', '6.591')
72|#lt|2012-12-13|25|False|372.6387026410049|('46.984', '6.879')
73|#lt|2012-12-16|25|False|354.25967362492395|('46.143', '6.137')
74|#lt|2012-11-17|25|False|352.95264380447503|('47.037', '7.019')
75|#lt|2012-12-21|25|False|312.20949316195157|('46.201', '6.092')
76|#lt|2012-10-28|25|False|286.9326544753231|('46.523', '6.591')
77|#snow|2012-10-28|25|False|256.39635104942323|('46.128', '9.359')
78|#ss6|2012-05-25|25|False|74.24455424273846|('46.381', '6.502')
79|#lt|2012-12-29|24|False|407.49890189328545|('46.984', '6.879')
80|#lt|2012-12-22|24|False|382.3511424368895|('46.201', '6.092')
81|#iphone5|2012-09-28|24|False|316.2699368786831|('47.375', '8.539')
82|#lt|2012-11-22|24|False|280.7753462622297|('46.190', '6.110')
83|#lt|2012-11-30|24|False|267.56970746865403|('46.203', '6.096')
84|#euro2012|2012-06-09|24|False|188.73390423957892|('47.587', '8.208')
85|#ss6|2012-08-17|24|False|83.18937901435197|('47.753', '7.326')
86|#london2012|2012-08-12|23|False|293.6462762632023|('46.185', '6.733')
87|#lt|2012-12-05|22|False|296.95086676954566|('46.190', '6.110')
88|#london2012|2012-08-05|22|False|190.9065176981186|('46.154', '10.149')
89|#euro2012|2012-06-17|22|False|140.57195711121437|('46.279', '6.928')
90|#ss6|2012-08-24|22|False|122.366794932791|('45.890', '6.127')
91|#livejump|2012-10-14|22|False|93.47875639462839|('47.437', '9.411')
92|#stratos|2012-10-14|22|False|92.07705114173665|('47.437', '9.411')
93|#dals|2012-11-03|22|False|90.89758750575038|('46.823', '6.946')
94|#esc|2012-05-26|22|False|87.65836424417489|('47.499', '8.733')
95|#lfauit|2012-11-20|22|False|37.80312934618657|('46.230', '7.351')
96|#lfauit|2012-11-13|22|False|30.92709087523593|('47.260', '6.012')
97|#rt|2012-12-09|21|False|304.39122921387394|('45.803', '9.048')
98|#lt|2012-10-25|21|False|281.6015121974981|('46.538', '6.665')
99|#jo2012|2012-07-27|21|False|105.29152604909703|('46.657', '6.642')
100|#olympicceremony|2012-07-27|21|False|53.68202372856536|('45.804', '9.084')
101|#lrt|2012-12-26|20|False|557.2063205238852|('46.523', '6.591')
102|#lrt|2012-12-16|20|False|430.1520826306459|('46.202', '6.129')
103|#lt|2012-10-14|20|False|303.3014769962049|('46.533', '6.647')
104|#ss6|2012-08-31|20|False|121.75958140451957|('47.280', '6.078')
105|#jo2012|2012-08-05|20|False|106.23010534531144|('46.282', '6.946')
106|#felixbaumgartner|2012-10-14|20|False|67.98047195133432|('47.437', '9.411')
