|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
237156|2014-04-09|('47.411', '8.553')|#som14|37|False|11|140.20122886015736
139584|2014-03-04|('47.374', '8.525')|#pokert|57|False|9|34.570692196838785
591050|2014-09-10|('46.920', '7.439')|#tedxbern|78|False|7|127.45900386921774
551815|2014-08-23|('47.370', '8.543')|#barcampch|27|False|6|176.38039824028613
445051|2014-07-05|('47.659', '9.433')|#bcbs14|7|False|5|281.6045233544663
618801|2014-09-24|('46.198', '6.142')|#geneva|5|False|5|226.04270604369339
618802|2014-09-24|('46.198', '6.142')|#job|6|False|5|206.3996385902485
526708|2014-08-13|('46.213', '6.146')|#job|6|False|5|205.65612269628429
464068|2014-07-13|('47.377', '8.537')|#ger|11|False|5|204.56743675370632
557717|2014-08-25|('46.213', '6.146')|#job|7|False|5|203.24032996272175
535800|2014-08-17|('46.213', '6.146')|#job|6|False|5|195.2588317227693
546184|2014-08-21|('46.213', '6.146')|#job|6|False|5|195.16787020851663
638381|2014-10-06|('46.213', '6.146')|#job|10|False|5|192.9960757804849
626621|2014-09-29|('46.213', '6.146')|#job|6|False|5|188.84994353411784
628198|2014-09-30|('46.213', '6.146')|#job|7|False|5|186.40417297621812
551801|2014-08-23|('46.213', '6.146')|#job|6|False|5|184.53871906696583
694331|2014-11-23|('46.494', '6.389')|#job|6|False|5|184.08545092087192
694333|2014-11-23|('46.494', '6.389')|#jobs|6|False|5|184.08545092087192
694335|2014-11-23|('46.494', '6.389')|#tweetmyjobs|6|False|5|184.08545092087192
522700|2014-08-11|('46.213', '6.146')|#job|6|False|5|176.5584813975105
495696|2014-07-28|('46.213', '6.146')|#job|6|False|5|176.44265401064732
383906|2014-06-12|('46.213', '6.146')|#geneva|5|False|5|175.8422833109261
383907|2014-06-12|('46.213', '6.146')|#job|5|False|5|175.8422833109261
396850|2014-06-16|('46.213', '6.146')|#geneva|5|False|5|175.5324023269398
396851|2014-06-16|('46.213', '6.146')|#job|5|False|5|175.5324023269398
683254|2014-11-17|('46.213', '6.111')|#jobs|14|False|5|175.4739989686761
531073|2014-08-15|('46.213', '6.146')|#job|5|False|5|174.09656579675035
518247|2014-08-09|('46.213', '6.146')|#job|6|False|5|173.76284684720275
497270|2014-07-29|('46.213', '6.146')|#job|6|False|5|172.40323417593123
386748|2014-06-13|('46.213', '6.146')|#job|6|False|5|166.3769803751872
386749|2014-06-13|('46.213', '6.146')|#geneva|6|False|5|166.3769803751872
634418|2014-10-04|('46.213', '6.146')|#job|6|False|5|165.48177354785395
399621|2014-06-17|('46.213', '6.146')|#job|5|False|5|163.82696881500038
399622|2014-06-17|('46.213', '6.146')|#jobs|5|False|5|163.82696881500038
399624|2014-06-17|('46.213', '6.146')|#geneva|5|False|5|163.82696881500038
514391|2014-08-07|('46.213', '6.146')|#job|6|False|5|160.27540497473348
503527|2014-08-01|('46.213', '6.146')|#job|6|False|5|160.18363085576442
507052|2014-08-03|('46.213', '6.146')|#job|6|False|5|160.15580138600222
500890|2014-07-31|('46.213', '6.146')|#job|6|False|5|157.23844733711806
512732|2014-08-06|('46.213', '6.146')|#job|6|False|5|157.22266195462652
508770|2014-08-04|('46.213', '6.146')|#job|6|False|5|157.21302056406316
551799|2014-08-23|('46.213', '6.146')|#jobs|5|False|5|156.1836478138619
603885|2014-09-16|('46.213', '6.146')|#geneva|5|False|5|156.0991848508861
638379|2014-10-06|('46.213', '6.146')|#jobs|6|False|5|155.0465378165178
478764|2014-07-20|('46.213', '6.146')|#job|6|False|5|150.97628781707638
616013|2014-09-22|('46.213', '6.146')|#job|6|False|5|146.51976639499682
603886|2014-09-16|('46.213', '6.146')|#job|6|False|5|146.47068400587247
612045|2014-09-20|('46.213', '6.146')|#job|6|False|5|146.33114357595554
413319|2014-06-22|('46.213', '6.146')|#jobs|5|False|5|143.73724445822816
413322|2014-06-22|('46.213', '6.146')|#geneva|5|False|5|143.73724445822816
413323|2014-06-22|('46.213', '6.146')|#job|5|False|5|143.73724445822816
551985|2014-08-23|('47.370', '8.542')|#barcampch|7|False|5|142.7038073119116
631198|2014-10-02|('46.213', '6.146')|#job|6|False|5|140.60824037303956
372959|2014-06-07|('46.213', '6.146')|#geneva|5|False|5|135.85410614168256
372960|2014-06-07|('46.213', '6.146')|#job|5|False|5|135.85410614168256
570092|2014-08-31|('46.213', '6.146')|#jobs|5|False|5|135.34058790079692
625022|2014-09-28|('46.213', '6.146')|#jobs|5|False|5|133.13719365126084
377091|2014-06-09|('46.213', '6.146')|#jobs|5|False|5|129.15423828379255
377093|2014-06-09|('46.213', '6.146')|#geneva|5|False|5|129.15423828379255
377094|2014-06-09|('46.213', '6.146')|#job|5|False|5|129.15423828379255
570094|2014-08-31|('46.213', '6.146')|#job|6|False|5|128.33736237061643
577543|2014-09-04|('46.213', '6.146')|#jobs|6|False|5|128.1487519688461
577545|2014-09-04|('46.213', '6.146')|#job|6|False|5|128.1487519688461
588721|2014-09-09|('46.213', '6.146')|#job|6|False|5|127.8403813125407
566090|2014-08-29|('46.213', '6.146')|#job|6|False|5|127.70544984962974
595047|2014-09-12|('46.213', '6.146')|#job|6|False|5|127.61264296110522
625025|2014-09-28|('46.213', '6.146')|#job|6|False|5|127.01381923939529
575975|2014-09-03|('46.213', '6.146')|#job|6|False|5|123.32790619315506
363482|2014-06-02|('46.213', '6.146')|#job|5|False|5|117.76211265843432
363483|2014-06-02|('46.213', '6.146')|#jobs|5|False|5|117.76211265843432
363485|2014-06-02|('46.213', '6.146')|#geneva|5|False|5|117.76211265843432
361263|2014-06-01|('46.213', '6.146')|#job|5|False|5|115.24349506829249
361265|2014-06-01|('46.213', '6.146')|#geneva|5|False|5|115.24349506829249
620304|2014-09-25|('46.213', '6.146')|#job|5|False|5|24.73921673061711
139660|2014-03-04|('47.374', '8.525')|#bitcoin|7|False|5|24.53686892225523
636220|2014-10-05|('46.948', '7.445')|#job|5|False|5|18.49919938207537
629653|2014-10-01|('46.948', '7.445')|#job|5|False|5|17.70818580330702
623380|2014-09-27|('46.948', '7.445')|#job|5|False|5|17.118048954247094
602066|2014-09-15|('46.948', '7.445')|#job|5|False|5|15.087875927379573
592751|2014-09-11|('46.948', '7.445')|#job|5|False|5|14.299772336960084
583948|2014-09-07|('46.948', '7.445')|#job|5|False|5|13.642425655937355
402182|2014-06-18|('46.213', '6.146')|#job|5|False|5|13.101829388804195
402185|2014-06-18|('46.213', '6.146')|#geneva|5|False|5|13.101829388804195
575972|2014-09-03|('46.948', '7.445')|#job|5|False|5|12.501524351498544
374721|2014-06-08|('46.213', '6.146')|#jobs|5|False|5|11.998671222727586
374723|2014-06-08|('46.213', '6.146')|#job|5|False|5|11.998671222727586
374724|2014-06-08|('46.213', '6.146')|#geneva|5|False|5|11.998671222727586
367475|2014-06-04|('46.213', '6.146')|#job|5|False|5|11.556994034398006
367476|2014-06-04|('46.213', '6.146')|#jobs|5|False|5|11.556994034398006
367478|2014-06-04|('46.213', '6.146')|#geneva|5|False|5|11.556994034398006
568223|2014-08-30|('46.948', '7.445')|#job|5|False|5|10.234153061630888
559608|2014-08-26|('46.948', '7.445')|#job|5|False|5|9.856404573226037
554677|2014-08-24|('46.948', '7.445')|#job|5|False|5|9.41725366901979
544029|2014-08-20|('46.948', '7.445')|#job|5|False|5|9.108844297958136
528820|2014-08-14|('46.948', '7.445')|#job|5|False|5|8.46216153106154
524760|2014-08-12|('46.948', '7.445')|#job|5|False|5|8.168526318879202
516174|2014-08-08|('46.948', '7.445')|#job|5|False|5|7.663405103332185
505202|2014-08-02|('46.948', '7.445')|#job|5|False|5|6.536849394012378
493713|2014-07-27|('46.948', '7.445')|#job|5|False|5|5.340730287142388
481151|2014-07-21|('46.948', '7.445')|#job|5|False|5|4.167501249749863
