|hashtag|dayOfTweet|usersPerHashtag|spamEvent|std|approxLocation
0|#prayforparis|2015-11-14|131|False|343.3105484345059|('46.205', '6.143')
1|#jesuischarlie|2015-01-07|119|False|170.47037916034887|('47.485', '6.914')
2|#charliehebdo|2015-01-07|113|False|210.02808168388088|('46.205', '6.143')
3|#jesuischarlie|2015-01-08|92|False|328.2243316607859|('46.201', '6.130')
4|#prayforparis|2015-11-13|67|False|33.07617077663094|('46.205', '6.143')
5|#parisattacks|2015-11-14|65|False|303.5623651550338|('47.377', '8.537')
6|#jesuischarlie|2015-01-11|57|False|277.2712515220389|('47.377', '8.537')
7|#charliehebdo|2015-01-08|47|False|353.6172820473368|('46.205', '6.143')
8|#nma|2015-11-07|43|False|101.78741009997802|('47.201', '5.941')
9|#paris|2015-11-13|42|False|38.58559978430147|('47.201', '5.941')
10|#fusillade|2015-11-13|42|False|36.258936547386|('47.722', '7.283')
11|#paris|2015-11-14|40|False|338.52147348962154|('47.377', '8.537')
12|#fifa|2015-05-27|40|False|272.8238612121208|('47.377', '8.537')
13|#missfrance2016|2015-12-19|36|False|64.65419890940277|('47.722', '7.283')
14|#uclfinal|2015-06-06|35|False|175.65828664873044|('47.377', '8.537')
15|#happynewyear|2015-12-31|33|False|334.43619210059126|('46.813', '8.224')
16|#brw15|2015-12-09|33|False|167.06002313248462|('46.853', '9.533')
17|#job|2015-07-11|31|False|319.69009475811293|('47.455', '8.287')
18|#job|2015-08-18|31|False|299.9397957694411|('46.948', '7.445')
19|#job|2015-08-12|31|False|279.27467793853526|('46.198', '6.142')
20|#job|2015-08-25|31|False|277.3147984282551|('46.198', '6.142')
21|#job|2015-07-13|31|False|270.32206940418956|('46.198', '6.142')
22|#job|2015-09-01|31|False|269.0431658509899|('46.198', '6.142')
23|#job|2015-08-08|31|False|259.7157623562826|('47.367', '8.550')
24|#job|2015-08-04|31|False|245.46646503046492|('46.198', '6.142')
25|#esc2015|2015-05-23|31|False|98.48110361887301|('47.668', '9.471')
26|#job|2015-08-19|30|False|302.0190927739444|('46.198', '6.142')
27|#job|2015-09-02|30|False|291.505642451598|('46.198', '6.142')
28|#job|2015-07-03|30|False|287.7143864465427|('47.367', '8.550')
29|#fifa|2015-05-29|30|False|274.8217226204195|('47.377', '8.537')
30|#job|2015-08-05|30|False|268.7340542832203|('46.198', '6.142')
31|#job|2015-07-01|30|False|266.15876393095647|('46.948', '7.445')
32|#job|2015-07-23|30|False|263.8952998905641|('46.198', '6.142')
33|#job|2015-08-23|30|False|253.81996716361425|('46.198', '6.142')
34|#job|2015-08-17|30|False|251.97625947155208|('47.367', '8.550')
35|#job|2015-08-10|30|False|245.8330709576972|('46.198', '6.142')
36|#job|2015-09-03|30|False|240.37784174120273|('47.367', '8.550')
37|#job|2015-11-12|30|False|236.2374101888084|('46.198', '6.142')
38|#job|2015-11-26|30|False|235.10744002675375|('47.367', '8.550')
39|#job|2015-07-02|30|False|232.69727009376913|('46.198', '6.142')
40|#hiring|2015-07-02|30|False|218.73149741715477|('46.198', '6.142')
41|#job|2015-06-27|29|False|299.623176984081|('46.948', '7.445')
42|#job|2015-08-24|29|False|293.61111184607273|('47.455', '8.287')
43|#job|2015-09-08|29|False|292.27534748747894|('46.198', '6.142')
44|#job|2015-08-21|29|False|289.06382925406746|('47.474', '8.306')
