|hashtag|dayOfTweet|usersPerHashtag|spamEvent|std|approxLocation|compound|area
0|#nma|2013-12-14|127|False|84.6711642102|('47.262', '6.032')|0.0204217391|Bourgogne Franche-Comté
1|#nma|2013-01-26|104|False|82.0372530535|('46.221', '6.109')|-0.1009823529|GE
2|#ss7|2013-06-07|63|False|76.7981020215|('45.914', '6.631')|-0.1366|Auvergne-Rhône-Alpes
3|#missfrance2014|2013-12-07|60|False|78.5206966716|('46.280', '7.505')|-0.00504|VS
4|#lt|2013-05-14|59|False|312.060278604|('46.187', '6.199')|0.09934|GE
5|#lt|2013-05-04|59|False|308.4766538133|('46.169', '6.119')|0|GE
6|#lt|2013-05-05|58|False|310.9133800271|('46.201', '6.104')|-0.2553|GE
7|#lt|2013-05-08|57|False|351.3867539083|('46.187', '6.199')|0|GE
8|#lt|2013-05-02|56|False|334.9815835403|('46.189', '6.137')|0|GE
9|#lrt|2013-12-01|56|False|307.404227745|('47.755', '7.310')|0.06785|Grand Est
10|#lt|2013-05-29|55|False|318.9961780138|('46.164', '6.280')|0.1531|Auvergne-Rhône-Alpes
11|#lrt|2013-05-20|55|False|292.9254909382|('46.246', '6.133')|0|GE
12|#lt|2013-06-02|55|False|286.5351872228|('46.397', '6.579')|0|Auvergne-Rhône-Alpes
13|#lt|2013-04-28|55|False|270.2979711784|('46.187', '6.199')|-0.4019|GE
14|#lt|2013-10-29|54|False|390.811166519|('47.535', '6.839')|0.2023|Bourgogne Franche-Comté
15|#lt|2013-06-20|54|False|354.7209336375|('46.170', '6.119')|-0.5965|GE
16|#lrt|2013-05-06|54|False|295.7634646604|('46.187', '6.199')|0.3612|GE
17|#lt|2013-06-11|53|False|341.5906878291|('46.229', '6.124')|-0.6124|GE
18|#lt|2013-06-17|53|False|329.7575581989|('46.799', '6.746')|0.0647|VD
19|#lt|2013-05-17|53|False|307.2953715942|('46.196', '6.138')|0.5557|GE
20|#ff|2013-01-25|53|False|285.6228913039|('46.392', '6.798')|0|Auvergne-Rhône-Alpes
21|#lrt|2013-12-30|52|False|492.1727852898|('46.220', '6.108')|0.236775|GE
22|#lt|2013-10-27|52|False|328.3162858275|('45.904', '6.129')|-0.0404666667|Auvergne-Rhône-Alpes
23|#lt|2013-05-09|52|False|326.6680093443|('46.291', '6.308')|-0.33525|Auvergne-Rhône-Alpes
24|#lt|2013-05-22|52|False|306.0046149336|('46.187', '6.199')|0.5209|GE
25|#ff|2013-03-01|52|False|248.076957621|('47.427', '8.671')|0.4588|ZH
26|#ff|2013-02-22|52|False|247.6914286942|('47.778', '7.292')|-0.148|Grand Est
27|#lrt|2013-05-12|51|False|359.5576639599|('46.195', '6.199')|-0.041375|GE
28|#lt|2013-06-01|51|False|334.1430555952|('46.196', '6.123')|0|GE
29|#lt|2013-04-26|51|False|325.6692986752|('46.187', '6.199')|0.21075|GE
30|#lt|2013-06-08|51|False|309.7333695999|('46.175', '6.141')|0.24695|GE
31|#lt|2013-05-20|51|False|300.5605832136|('46.187', '6.199')|-0.5994|GE
32|#lrt|2013-05-26|51|False|269.0681940596|('47.866', '7.223')|0.4621666667|Grand Est
33|#lt|2013-02-18|50|False|381.8729601386|('46.814', '6.832')|0.6369|FR
34|#lrt|2013-06-18|50|False|312.5288108051|('46.216', '6.146')|0|GE
35|#lt|2013-03-08|50|False|309.4550274033|('46.218', '6.133')|0|GE
36|#lt|2013-04-19|50|False|293.7897484751|('46.189', '6.137')|0.0963|GE
37|#lt|2013-05-30|50|False|280.6131688964|('46.187', '6.241')|0.0748|Auvergne-Rhône-Alpes
38|#lrt|2013-04-23|50|False|253.5155508614|('46.206', '6.123')|0.1511|GE
39|#lrt|2013-06-25|49|False|351.1142840369|('46.278', '6.167')|0.098|GE
40|#lrt|2013-04-21|49|False|333.1805996956|('47.001', '6.917')|0.5093|NE
41|#thevoice|2013-02-02|49|False|54.9335008413|('47.646', '6.841')|0.27505|Bourgogne Franche-Comté
42|#lt|2013-03-11|48|False|390.2383599469|('46.213', '6.125')|0.17525|GE
43|#lt|2013-03-14|48|False|316.4163003505|('46.211', '6.113')|0|GE
44|#lrt|2013-10-13|48|False|280.7945445496|('46.197', '6.243')|0|Auvergne-Rhône-Alpes
45|#fraukr|2013-11-19|48|False|148.9600377395|('46.061', '6.386')|0.2241|Auvergne-Rhône-Alpes
46|#lt|2013-06-18|47|False|395.582977378|('46.189', '6.137')|0.3724|GE
47|#lrt|2013-04-27|47|False|356.4122385149|('46.187', '6.199')|0|GE
48|#lt|2013-06-15|47|False|349.0500479094|('47.756', '7.318')|0|Grand Est
49|#lrt|2013-05-21|47|False|303.3564270845|('46.220', '6.113')|0.3206666667|GE
50|#ff|2013-02-01|47|False|278.944817693|('47.052', '6.595')|0.7004|Bourgogne Franche-Comté
51|#lrt|2013-05-01|47|False|271.9750279712|('46.207', '6.218')|0.6514|GE
52|#ff|2013-04-26|47|False|202.8144539312|('47.599', '7.509')|0.58468|Grand Est
53|#lrt|2013-06-24|46|False|320.8727586286|('47.812', '7.332')|0|Grand Est
54|#lt|2013-04-21|46|False|304.330039207|('46.220', '6.109')|-0.47605|GE
55|#ff|2013-04-19|46|False|279.3493174145|('46.185', '6.118')|0.1674|GE
56|#lt|2013-03-09|45|False|343.2647339858|('46.218', '6.133')|-0.028025|GE
57|#lt|2013-05-21|45|False|337.5187054567|('46.220', '6.113')|-0.3818|GE
58|#lt|2013-11-30|44|False|346.4889681376|('46.215', '6.146')|0.05135|GE
59|#ff|2013-03-15|44|False|296.4540279966|('47.061', '6.607')|0.2193|Bourgogne Franche-Comté
60|#lt|2013-10-10|44|False|276.8929863176|('46.219', '6.110')|0.3382|GE
61|#lt|2013-05-13|44|False|272.1129566875|('46.216', '6.128')|0|GE
62|#lt|2013-05-23|44|False|234.7095945895|('46.187', '6.199')|0.28595|GE
63|#lt|2013-12-02|43|False|402.2921257117|('45.901', '6.101')|0.7876|Auvergne-Rhône-Alpes
64|#lrt|2013-05-25|43|False|317.3600558064|('46.221', '6.107')|-0.6739|GE
65|#ff|2013-05-17|43|False|272.8369355953|('47.052', '6.595')|0|Bourgogne Franche-Comté
66|#ff|2013-03-08|43|False|261.5505103864|('47.758', '7.341')|0.5719|Grand Est
67|#ff|2013-02-15|43|False|232.3118643832|('47.427', '8.671')|0.4389|ZH
68|#lrt|2013-05-07|42|False|356.3276715574|('47.053', '7.068')|0|NE
69|#lt|2013-03-05|42|False|308.0986078649|('46.192', '6.232')|0.5589|Auvergne-Rhône-Alpes
70|#lt|2013-12-03|42|False|296.7097908856|('45.901', '6.101')|-0.2732|Auvergne-Rhône-Alpes
71|#lt|2013-09-22|42|False|286.904333617|('45.904', '6.129')|-0.1584333333|Auvergne-Rhône-Alpes
72|#lrt|2013-04-30|42|False|268.0128439963|('46.207', '6.124')|0.3062|GE
73|#ff|2013-02-08|42|False|253.0276974046|('46.165', '6.408')|-0.0258|Auvergne-Rhône-Alpes
