userId|tweetsHome|homeLatitude|homeLongitude|tweetsWork|workLatitude|workLongitude|distance|time|homeCanton|workCanton
11730|15|46.55|7.91|5|46.53|6.64|178.663|129.75|BE|VD
50043|24|46.52|6.63|25|46.53|6.61|2.487|7.9833333333|VD|VD
53423|8|46.19|6.13|17|46.18|6.13|1.475|5.3833333333|GE|GE
53453|50|47|6.94|26|46.53|6.65|78.511|53.7166666667|NE|VD
55223|22|46.51|6.65|23|46.2|6.14|65.307|61.35|VD|GE
99983|129|47.5|8.73|168|47.38|8.54|24.689|25.85|ZH|ZH
120433|35|46.95|7.47|8|46.96|7.45|2.697|9.0166666667|BE|BE
371243|39|46.03|8.98|25|45.98|8.93|13.518|15.3833333333|TI|TI
634553|48|46.2|6.2|53|46.18|6.14|7.249|16.3|GE|GE
640043|55|45.77|9.35|67|46.02|8.9|78.037|87.9833333333|Lombardia|TI
688623|106|47.23|8.86|47|47.25|8.85|5.54|7.7833333333|SG|SG
701133|15|46.82|8.4|65|46.2|6.14|299.386|202.8333333333|OW|GE
715243|22|47.38|8.54|22|46.96|7.45|119.668|82.05|ZH|BE
754363|6|47.37|8.55|5|47.45|8.56|11.815|16.8333333333|ZH|ZH
757055|5|47.43|8.56|7|47.45|8.56|4.164|9.4|ZH|ZH
788272|11|46.19|6.23|8|46.18|6.13|20.443|17.3166666667|Auvergne-Rhône-Alpes|GE
791076|6|47.41|8.54|13|46.9|7.41|130.082|93.45|ZH|BE
814346|40|46.94|7.44|94|46.53|6.65|100.664|69.1833333333|BE|VD
822175|7|47.36|8.53|11|47.36|8.55|3.037|9.8833333333|ZH|ZH
911681|44|47.72|7.57|8|47.56|7.6|23.26|25.0666666667|BW|BS
921241|16|47.64|9.17|38|47.38|8.54|67.157|47.6333333333|TG|ZH
1035761|21|47.08|8.33|21|47.05|8.3|12.217|14.8|LU|LU
1079931|208|47.16|8.29|38|47.34|7.9|49.102|41.1333333333|LU|SO
1315951|69|46.5|6.7|29|46.53|6.64|7.252|17.65|VD|VD
1316921|6|47.2|8.07|7|47.03|8.28|32.639|31.65|LU|LU
1320161|30|47.4|8.55|29|47.37|8.54|5.517|17.7666666667|ZH|ZH
2008871|7|46.01|8.95|5|47.41|8.53|212.591|149.3333333333|TI|ZH
2277901|17|47.39|8.37|5|46.43|8.86|152.216|119.3666666667|AG|TI
2492831|5|47.52|8.57|46|47.38|8.54|22.478|26.2166666667|ZH|ZH
2994961|7|47.37|8.54|9|47.45|8.56|12.905|21.65|ZH|ZH
3416771|13|46.94|7.43|17|46.95|7.44|2.296|9.8333333333|BE|BE
4132991|6|46.14|7.63|9|46.52|6.64|138.113|106.9|VS|VD
4880191|44|47.56|7.86|6|47.56|7.58|25.296|29.0166666667|AG|BS
5429882|27|46.94|7.42|16|46.84|7.66|31.406|32.7|BE|BE
5442002|22|46.07|8.98|42|46.01|8.95|9.773|18.3833333333|TI|TI
5506562|26|46.29|6.91|40|46.53|6.64|48.961|42.3166666667|VS|VD
5795152|7|47.5|8.73|32|46.78|7.3|181.263|126.9166666667|ZH|FR
5816752|18|47.35|8.53|5|47.36|8.52|2.222|6.9833333333|ZH|ZH
5905092|128|47.32|8.79|37|47.33|8.78|1.534|3.2|ZH|ZH
5908302|34|47.46|8.31|37|47.38|8.54|24.37|31.6|AG|ZH
5911822|17|47.25|8.6|9|47.31|8.53|12.091|11.8666666667|ZH|ZH
6173342|8|47.38|8.54|5|47.38|8.52|5.132|11.1333333333|ZH|ZH
6194482|57|47.37|8.54|10|47.37|8.53|1.391|5.8166666667|ZH|ZH
6364342|24|45.84|9.04|44|46.02|8.97|36.379|35.0333333333|Lombardia|TI
6721492|33|47.25|8.77|29|47.09|9.22|56.353|53.05|ZH|SG
6811732|33|46.19|6.14|200|46.2|6.14|1.335|5.3|GE|GE
6848912|13|47.17|8.9|59|47.38|8.54|44.345|38.8666666667|SZ|ZH
