userId|tweetsHome|homeLatitude|homeLongitude|tweetsWork|workLatitude|workLongitude|distance|time|homeCanton|workCanton
11847|23.0|46.17|8.79|6.0|46.17|8.88|11.54|12.333333333333334|TI|TI
50043|22.0|46.53|6.65|10.0|46.27|7.1|65.363|59.68333333333333|VD|VD
120433|115.0|46.95|7.4|43.0|46.96|7.45|7.115|13.716666666666667|BE|BE
714913|57.0|47.42|9.36|27.0|47.38|8.54|83.553|55.583333333333336|SG|ZH
1035761|47.0|47.08|8.33|21.0|46.39|7.98|159.534|178.33333333333334|LU|VS
1858541|24.0|46.55|6.73|11.0|47.38|8.54|208.5|146.36666666666667|VD|ZH
3916111|131.0|47.33|8.55|53.0|47.31|8.52|4.629|10.083333333333334|ZH|ZH
5223701|49.0|46.5|6.67|21.0|46.53|6.65|4.878|13.1|VD|VD
5738252|34.0|46.56|6.74|22.0|46.54|6.59|22.409|24.966666666666665|VD|VD
5908302|26.0|47.46|8.29|52.0|47.25|8.58|48.217|35.85|AG|ZH
5943072|24.0|47.38|8.54|34.0|47.46|8.59|14.175|16.716666666666665|ZH|ZH
8077292|19.0|46.68|7.7|7.0|46.95|7.45|42.333|38.35|BE|BE
8673832|125.0|47.43|8.71|234.0|47.38|8.54|21.224|22.616666666666667|ZH|ZH
8704722|114.0|46.53|6.58|12.0|46.21|6.09|70.262|55.35|VD|GE
9527232|75.0|47.52|7.55|60.0|47.56|7.58|7.88|18.083333333333332|BL|BS
10839772|98.0|47.64|9.17|31.0|47.5|8.73|43.143|35.483333333333334|TG|ZH
11559482|74.0|46.49|6.7|15.0|46.52|6.94|27.022|28.55|VD|FR
12064702|153.0|47.23|8.86|72.0|47.38|8.54|36.281|38.833333333333336|SG|ZH
13392692|40.0|47.39|8.45|34.0|47.38|8.54|9.376|22.2|ZH|ZH
14061499|217.0|47.38|8.54|257.0|47.43|8.57|11.106|14.616666666666667|ZH|ZH
14106683|199.0|47.4|8.13|79.0|46.95|7.39|88.253|57.31666666666667|AG|BE
14113017|76.0|46.2|6.2|9.0|46.2|6.14|6.23|18.716666666666665|GE|GE
14260616|115.0|47.5|8.34|77.0|47.46|8.29|9.441|13.333333333333334|AG|AG
14340750|49.0|47.15|7.26|30.0|47.19|7.13|15.739|17.85|BE|BE
14656989|110.0|47.32|8.61|68.0|47.38|8.54|11.357|24.2|ZH|ZH
14662178|44.0|47.24|7.87|32.0|47.41|8.22|40.374|30.683333333333334|AG|AG
