|hashtag|dayOfTweet|usersPerHashtag|spamEvent|std|approxLocation
0|#brexit|2016-06-24|186|False|261.68098467996623|('47.719', '8.623')
1|#euro2016|2016-06-27|96|False|165.86761039283476|('46.954', '7.395')
2|#suifra|2016-06-19|95|False|108.93286027452339|('46.529', '6.652')
3|#frapor|2016-07-10|87|False|174.98070492058636|('46.205', '6.143')
4|#sui|2016-06-19|87|False|172.97166711651826|('46.894', '7.055')
5|#euro2016|2016-06-10|84|False|303.1964272881323|('45.800', '9.084')
6|#fraisl|2016-07-03|81|False|108.78714776894405|('47.563', '6.918')
7|#eurovision|2016-05-14|78|False|110.31324199734928|('46.205', '6.143')
8|#suipol|2016-06-25|75|False|86.35865264365457|('47.377', '8.537')
9|#frasui|2016-06-19|74|False|92.53166840760458|('46.894', '7.055')
10|#euro2016|2016-06-19|73|False|156.8040823432352|('47.560', '7.583')
11|#euro2016|2016-07-10|68|False|190.324395548154|('46.205', '6.143')
12|#frairl|2016-06-26|67|False|68.25330297913314|('46.205', '6.143')
13|#euro2016|2016-07-07|64|False|258.8996863239828|('46.205', '6.143')
14|#fra|2016-07-07|64|False|236.9376955118062|('47.722', '7.283')
15|#fraall|2016-07-07|64|False|136.89449141869773|('46.316', '6.000')
16|#euro2016|2016-06-11|62|False|224.44643793725436|('47.560', '7.583')
17|#fraalb|2016-06-15|61|False|121.47085863708811|('47.563', '6.918')
18|#euro2016|2016-06-15|60|False|201.39518357715554|('46.529', '6.652')
19|#porfra|2016-07-10|60|False|110.24723221065786|('46.813', '8.224')
20|#prayfornice|2016-07-15|59|False|291.5748072317536|('46.410', '6.342')
21|#euro2016|2016-06-25|58|False|175.5807980105836|('47.377', '8.537')
22|#brexit|2016-06-27|56|False|303.98092504442326|('46.205', '6.143')
23|#sui|2016-06-25|56|False|137.08059371489585|('46.205', '6.143')
24|#bruxelles|2016-03-22|55|False|205.3027490579867|('45.831', '8.807')
25|#gerita|2016-07-02|55|False|97.64030517901412|('46.813', '8.224')
26|#euro2016|2016-07-03|53|False|174.8893959820218|('47.499', '8.733')
27|#por|2016-07-10|53|False|169.97007414938628|('46.529', '6.652')
28|#albsui|2016-06-11|53|False|81.49251559326834|('46.546', '6.727')
29|#euro2016|2016-06-13|52|False|218.62831832174797|('47.560', '7.583')
30|#euro2016|2016-06-12|52|False|216.47323489009983|('47.560', '7.583')
31|#frarou|2016-06-10|52|False|106.04869445188608|('47.563', '7.509')
32|#ita|2016-06-27|52|False|97.45024319257963|('46.803', '7.160')
33|#euro2016final|2016-07-10|51|False|153.54474285541784|('46.205', '6.143')
34|#uclfinal|2016-05-28|50|False|161.11338710581157|('47.563', '7.509')
35|#isl|2016-06-27|50|False|135.61407118751285|('47.377', '8.537')
36|#itaesp|2016-06-27|50|False|49.136519055640136|('47.563', '7.509')
37|#euro2016|2016-06-26|48|False|177.73538366783583|('46.205', '6.143')
38|#porisl|2016-06-14|48|False|104.23796560221656|('47.377', '8.537')
39|#lovetwitter|2016-03-21|47|False|296.121092281144|('47.377', '8.537')
40|#euro2016|2016-06-14|47|False|195.08838017920078|('47.563', '7.509')
41|#euro2016|2016-06-22|47|False|162.23223833229|('47.377', '8.537')
42|#sui|2016-06-15|47|False|159.27985581860258|('47.377', '8.537')
43|#fra|2016-07-10|46|False|239.4583747598534|('47.722', '7.283')
44|#prince|2016-04-21|46|False|101.49125735801633|('47.377', '8.537')
45|#ita|2016-07-02|45|False|144.40197585223663|('47.321', '8.804')
46|#polpor|2016-06-30|45|False|108.27196557009034|('47.563', '6.918')
47|#euro2016|2016-07-02|44|False|172.4868588774712|('47.463', '9.053')
48|#isl|2016-07-03|44|False|167.29079386998208|('46.205', '6.143')
49|#porwal|2016-07-06|44|False|152.4653286003909|('46.205', '6.143')
50|#brexit|2016-06-25|43|False|290.1130777848593|('46.225', '8.771')
51|#belita|2016-06-13|43|False|74.21019948311404|('47.563', '7.509')
52|#euro2016|2016-06-21|42|False|194.05278238781995|('47.377', '8.537')
53|#gerfra|2016-07-07|42|False|146.3465674813773|('47.476', '7.626')
54|#ita|2016-06-13|41|False|156.47794654641638|('46.205', '6.143')
55|#fra|2016-07-03|40|False|104.9564099951954|('47.722', '7.283')
56|#oscars|2016-02-29|39|False|287.54761863709007|('46.205', '6.143')
57|#rio2016|2016-08-09|39|False|255.73636462192144|('47.377', '8.537')
58|#euro2016|2016-06-17|39|False|210.61435601366264|('47.560', '7.583')
59|#abst16|2016-02-28|38|False|192.50464603519984|('47.377', '8.537')
60|#gottardo2016|2016-06-01|37|False|236.84113137639207|('47.377', '8.537')
61|#appleevent|2016-09-07|36|False|123.25648584185471|('46.529', '6.652')
62|#euro2016|2016-06-30|35|False|172.3950248287085|('46.379', '6.568')
63|#esp|2016-06-27|35|False|115.53023833259891|('46.803', '7.160')
64|#euro2016|2016-06-16|34|False|252.56862767707995|('47.377', '8.537')
65|#fra|2016-06-15|34|False|223.03456438024133|('47.201', '5.941')
66|#por|2016-06-30|34|False|158.33304836367793|('46.205', '6.143')
67|#sui|2016-06-11|34|False|129.4069270058355|('46.205', '6.143')
68|#brexit|2016-06-23|33|False|358.82991682093524|('47.377', '8.537')
69|#wal|2016-07-01|33|False|132.57711300602435|('46.205', '6.143')
70|#rousui|2016-06-15|33|False|114.18702143050214|('47.377', '8.537')
71|#fra|2016-06-26|33|False|81.65775229661695|('47.499', '8.733')
72|#engisl|2016-06-27|33|False|48.65741315511559|('47.563', '7.509')
73|#angisl|2016-06-27|33|False|47.34948480225221|('46.344', '6.440')
74|#ger|2016-07-07|32|False|233.40643752624453|('46.205', '6.143')
75|#dsinein|2016-02-28|32|False|231.87102304599227|('47.377', '8.537')
76|#brussels|2016-03-22|32|False|223.73739602845114|('46.813', '8.224')
77|#fra|2016-06-19|32|False|145.38436799117045|('47.001', '6.942')
78|#orangesponsorsyou|2016-06-19|31|False|182.795035825125|('46.205', '6.143')
79|#rio2016|2016-08-10|30|False|340.96530676125644|('46.205', '6.143')
80|#allita|2016-07-02|30|False|110.96623475634378|('46.608', '6.751')
81|#rio2016|2016-08-06|29|False|498.5650760096977|('45.988', '8.728')
82|#swissnationalday|2016-08-01|29|False|339.4037210299551|('47.377', '8.537')
83|#euro2016|2016-06-20|29|False|223.14221872222507|('47.377', '8.537')
84|#dsi|2016-02-28|29|False|196.25976384145116|('47.029', '8.017')
85|#por|2016-06-14|29|False|184.33504177248622|('46.301', '7.049')
86|#eng|2016-06-27|29|False|144.18467050187377|('46.205', '6.143')
87|#sanremo2016|2016-02-09|29|False|130.09447775692834|('45.858', '9.426')
88|#nice|2016-07-14|29|False|28.85381010610018|('45.801', '6.657')
89|#sanremo2016|2016-02-10|28|False|230.17212245006627|('45.833', '8.771')
90|#ger|2016-07-02|28|False|166.77917926233079|('47.321', '8.804')
91|#cropor|2016-06-25|28|False|48.765043138542964|('47.563', '7.509')
92|#rio2016|2016-08-08|27|False|372.5321199271026|('46.500', '6.671')
93|#euro2016|2016-06-18|27|False|227.75728807206593|('47.377', '8.537')
94|#walbel|2016-07-01|27|False|101.63731046030374|('47.563', '7.509')
95|#euro2016|2016-07-01|26|False|342.32023802635337|('46.205', '6.143')
96|#rio2016|2016-08-15|25|False|427.251062353348|('47.377', '8.537')
97|#rio2016|2016-08-05|25|False|357.8759056913114|('46.185', '6.122')
98|#euro2016|2016-07-06|25|False|283.8741025450057|('46.205', '6.143')
99|#ripmuhammadali|2016-06-04|25|False|214.6239463629008|('46.205', '6.143')
100|#fra|2016-06-10|24|False|205.76077086295535|('47.201', '5.941')
101|#isl|2016-06-14|24|False|129.53005666781172|('47.560', '7.583')
102|#rio2016|2016-08-07|23|False|383.83083636560974|('46.876', '6.312')
103|#pokemongo|2016-07-12|23|False|350.8211382712603|('47.377', '8.537')
104|#pokemongo|2016-07-14|23|False|303.6347145796072|('47.377', '8.537')
105|#italiagermania|2016-07-02|23|False|78.04996200247061|('47.321', '8.804')
106|#turcro|2016-06-12|23|False|65.4470693520562|('47.563', '7.509')
107|#nice06|2016-07-14|23|False|38.02224659994169|('47.722', '7.283')
108|#job|2016-04-08|22|False|362.7167077703232|('46.818', '8.228')
109|#job|2016-05-30|22|False|321.4439257471465|('46.204', '6.143')
110|#job|2016-04-15|22|False|276.7273464484139|('47.560', '7.589')
111|#job|2016-04-19|22|False|273.2000680106023|('46.204', '6.143')
112|#job|2016-05-02|22|False|258.413028527671|('47.455', '8.287')
113|#pokemongo|2016-07-16|22|False|212.22371620630432|('47.001', '6.942')
114|#pol|2016-06-30|22|False|159.21697024871477|('47.563', '6.918')
115|#psgche|2016-02-16|22|False|150.88443704016933|('47.201', '5.941')
116|#gerukr|2016-06-12|22|False|81.64687372811503|('47.560', '7.583')
117|#poraut|2016-06-18|22|False|78.49792024833552|('46.205', '6.143')
118|#job|2016-05-20|21|False|346.27339394535574|('46.204', '6.143')
119|#hiring|2016-05-30|21|False|312.13180724988285|('46.204', '6.143')
120|#job|2016-06-07|21|False|309.21337243158337|('46.204', '6.143')
121|#job|2016-05-24|21|False|308.40989826245914|('46.204', '6.143')
122|#job|2016-03-27|21|False|306.62481498487966|('47.455', '8.287')
123|#job|2016-03-30|21|False|294.84297930366864|('47.567', '7.598')
124|#hiring|2016-04-12|21|False|293.50943464714027|('46.204', '6.143')
125|#job|2016-05-07|21|False|291.3762242693189|('46.204', '6.143')
126|#job|2016-04-09|21|False|286.77149207294525|('46.818', '8.228')
127|#job|2016-05-04|21|False|286.0742619498638|('46.204', '6.143')
128|#job|2016-04-12|21|False|285.07996212442066|('46.204', '6.143')
129|#por|2016-06-25|21|False|274.2938984803071|('46.954', '7.395')
130|#rio2016|2016-08-14|21|False|271.66277347944987|('46.205', '6.143')
131|#job|2016-04-01|21|False|260.42676675344353|('47.567', '7.598')
132|#job|2016-05-29|21|False|258.72193263946326|('47.455', '8.287')
133|#job|2016-05-12|21|False|254.80624280703466|('46.204', '6.143')
134|#ripalanrickman|2016-01-14|21|False|187.12826772838116|('46.930', '7.570')
135|#esc2016|2016-05-14|21|False|98.48580214464457|('46.216', '6.035')
136|#engrus|2016-06-11|21|False|51.36413239883693|('47.563', '7.509')
137|#rio2016|2016-08-13|20|False|378.68046696335654|('46.205', '6.143')
