|hashtag|dayOfTweet|usersPerHashtag|spamEvent|std|approxLocation
0|#sui|2014-07-01|111|False|160.2288912866604|('46.236', '6.080')
1|#ger|2014-07-13|102|False|179.35058657122903|('47.299', '8.445')
2|#frahon|2014-06-15|100|False|90.78879429823978|('47.528', '6.817')
3|#brager|2014-07-08|92|False|67.21655410154263|('46.224', '7.280')
4|#breall|2014-07-08|92|False|54.94849156459599|('47.753', '7.305')
5|#sui|2014-06-25|86|False|132.54278891426463|('47.416', '9.361')
6|#sui|2014-06-20|83|False|231.5968996143156|('46.520', '6.638')
7|#suifra|2014-06-20|82|False|178.96150210866415|('46.224', '7.280')
8|#ger|2014-07-08|80|False|97.5886297102331|('46.205', '6.143')
9|#frasui|2014-06-20|77|False|173.00587110452298|('46.530', '6.025')
10|#sui|2014-06-15|76|False|143.850575036791|('47.560', '7.583')
11|#franig|2014-06-30|75|False|112.3692332345709|('47.562', '6.853')
12|#gerarg|2014-07-13|74|False|125.88809793148512|('47.377', '8.537')
13|#bra|2014-07-08|73|False|93.36296612689118|('47.470', '6.686')
14|#arg|2014-07-13|71|False|154.37269333285582|('46.375', '6.921')
15|#suiecu|2014-06-15|71|False|91.56312044463814|('47.052', '8.297')
16|#argsui|2014-07-01|65|False|115.92362620136645|('47.377', '8.537')
17|#ss8|2014-07-18|62|False|103.65632519184823|('47.681', '7.408')
18|#fra|2014-06-20|60|False|231.55360844720525|('46.246', '6.133')
19|#ger|2014-07-04|60|False|154.06510211952025|('47.528', '6.817')
20|#cdm2014|2014-06-12|59|False|238.7422246140239|('47.473', '6.761')
21|#fra|2014-07-04|59|False|168.0268841970846|('47.528', '6.817')
22|#ned|2014-07-09|58|False|208.17074030144894|('47.470', '6.686')
23|#riprobinwilliams|2014-08-12|57|False|305.70545574738463|('46.262', '9.846')
24|#nedarg|2014-07-09|57|False|121.84141438490707|('47.709', '9.152')
25|#lrt|2014-01-05|56|False|400.4432566701867|('47.155', '7.004')
26|#fraall|2014-07-04|55|False|123.70501894785392|('47.618', '6.152')
27|#espchi|2014-06-18|54|False|77.5493005179384|('46.375', '6.921')
28|#lrt|2014-01-04|52|False|435.4927179610402|('46.196', '6.123')
29|#espned|2014-06-13|52|False|46.17716332112346|('46.359', '6.483')
30|#por|2014-06-16|50|False|205.84170663887113|('47.474', '6.693')
31|#thevoice|2014-01-18|50|False|40.5909987867076|('47.486', '6.821')
32|#alg|2014-06-30|49|False|191.99400414057578|('46.939', '7.484')
33|#frager|2014-07-04|49|False|151.01913988563544|('47.377', '8.537')
34|#lrt|2014-07-15|48|False|447.3013845279909|('47.755', '7.313')
35|#lrt|2014-01-12|48|False|350.01387948970773|('46.472', '6.853')
36|#allalg|2014-06-30|48|False|97.14340135977446|('47.562', '6.853')
37|#esc|2014-05-10|48|False|94.27477584732318|('47.601', '7.665')
38|#cdm2014|2014-06-15|47|False|325.1551993651947|('46.294', '7.532')
39|#itauru|2014-06-24|47|False|82.12362889773323|('46.375', '6.921')
40|#lrt|2014-06-17|46|False|318.15701874304807|('46.535', '6.578')
41|#lrt|2014-06-18|46|False|298.7560683475704|('47.633', '6.819')
42|#ita|2014-06-20|46|False|168.52396565508852|('46.943', '8.276')
43|#bra|2014-07-04|46|False|158.5574494280605|('47.470', '6.686')
44|#ger|2014-06-16|46|False|158.4368307043477|('47.474', '6.693')
45|#arg|2014-07-09|46|False|148.4521633805417|('46.375', '6.921')
46|#lrt|2014-07-08|45|False|349.104121019883|('46.194', '6.103')
47|#fra|2014-06-30|45|False|184.773234001283|('47.528', '6.817')
48|#lrt|2014-02-09|44|False|392.72971190263416|('46.222', '6.128')
49|#col|2014-07-04|44|False|161.62637019860216|('47.528', '6.817')
50|#thevoice|2014-01-25|44|False|46.00912482236273|('46.246', '6.133')
51|#lrt|2014-01-01|43|False|344.6713707048428|('46.136', '6.026')
52|#esp|2014-06-18|43|False|144.89004715718724|('47.474', '6.693')
53|#lrt|2014-06-01|42|False|321.0552266356615|('47.101', '6.839')
54|#por|2014-06-22|42|False|229.84588301363473|('46.213', '6.112')
55|#gha|2014-06-21|42|False|106.40178595128124|('47.377', '8.537')
56|#lt|2014-01-04|41|False|390.1327471974868|('45.904', '6.129')
57|#lrt|2014-06-16|41|False|272.0996399096077|('46.391', '6.591')
58|#worldcup2014|2014-06-12|41|False|215.40230828132997|('47.432', '9.391')
59|#chi|2014-06-18|41|False|121.36447534946892|('47.474', '6.693')
60|#ballondor|2014-01-13|41|False|96.63103138627203|('46.248', '7.318')
61|#lrt|2014-01-03|40|False|460.07844734929193|('46.327', '6.440')
62|#lt|2014-01-02|40|False|435.65625339428067|('45.904', '6.129')
63|#lrt|2014-06-20|40|False|347.8154285671257|('46.321', '6.965')
64|#wm2014|2014-06-15|40|False|278.1909306210662|('47.299', '8.531')
65|#ep2014|2014-05-25|39|False|281.7860132802541|('47.741', '7.607')
66|#lt|2014-01-19|39|False|273.3325457783286|('45.904', '6.129')
67|#abst14|2014-02-09|39|False|166.92358343619134|('47.420', '8.545')
68|#lrt|2014-01-19|38|False|367.1196055453213|('46.400', '6.586')
69|#lrt|2014-03-23|38|False|339.2093508151492|('46.061', '6.047')
70|#lt|2014-02-19|38|False|324.324121383395|('47.681', '7.408')
71|#coupedumonde|2014-06-12|38|False|314.4651632743417|('47.305', '6.145')
72|#ger|2014-06-30|38|False|228.45315809948795|('46.184', '6.121')
73|#fra|2014-06-15|38|False|183.02666015429747|('47.474', '6.693')
74|#honsui|2014-06-25|38|False|147.65486362926134|('47.495', '8.507')
75|#geralg|2014-06-30|38|False|107.72941613355918|('46.943', '8.276')
76|#allarg|2014-07-13|38|False|90.97445739864173|('46.375', '6.921')
77|#lrt|2014-07-23|37|False|455.5877924454641|('46.179', '6.120')
78|#lrt|2014-08-14|37|False|390.09172438603093|('47.681', '6.500')
79|#gerpor|2014-06-16|37|False|135.04138307868794|('47.554', '9.697')
80|#ss8|2014-07-25|37|False|119.0677635232591|('46.400', '6.587')
81|#italiauruguay|2014-06-24|37|False|99.63428195792626|('46.006', '8.296')
82|#eurovisionsongcontest2014|2014-05-10|37|False|64.18521176411032|('46.943', '8.276')
83|#thevoice|2014-01-11|37|False|44.23464994694644|('46.366', '6.471')
84|#lrt|2014-04-21|36|False|342.88111821812186|('46.777', '6.631')
85|#bra|2014-06-28|36|False|126.07072331134978|('47.371', '8.510')
86|#eurovision|2014-05-10|36|False|78.64021906783861|('46.524', '6.466')
87|#belusa|2014-07-01|36|False|61.39975791301139|('46.512', '6.658')
88|#lrt|2014-08-03|35|False|391.26498155736573|('46.179', '6.120')
89|#lrt|2014-07-29|35|False|361.970361437555|('46.179', '6.120')
90|#lrt|2014-07-20|35|False|307.53024713883184|('46.227', '6.129')
91|#lrt|2014-06-12|35|False|262.9935528780475|('47.473', '6.761')
92|#ss8|2014-08-15|35|False|141.21212790912648|('47.681', '7.408')
