|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
3872|2010-10-20|('47.383', '8.536')|#tedxzh|5|False|3|150.12135350368308
5361|2010-12-10|('47.561', '9.637')|#wikileaks|6|True|1|409.51945985696847
3454|2010-10-07|('46.289', '7.972')|#fb|5|True|1|196.80652202381685
1189|2010-06-05|('47.667', '9.170')|#bcbs10|6|True|1|140.36947772852108
1589|2010-06-24|('47.412', '8.552')|#swisscrmforum|7|True|1|130.4193586690498
5176|2010-12-06|('46.194', '6.154')|#tedxgeneva|5|True|1|124.15650410313232
4993|2010-11-30|('47.561', '9.637')|#jmstv|11|True|1|112.6522505936744
4679|2010-11-19|('47.324', '8.471')|#fb|7|True|1|84.25073917868131
4681|2010-11-19|('47.324', '8.471')|#mannechoched|6|True|1|75.88368215626194
5023|2010-12-01|('47.561', '9.637')|#jmstv|5|True|1|74.77822648041042
284|2010-03-25|('47.365', '8.539')|#bosw|7|True|1|73.30134150659632
1024|2010-05-29|('47.162', '8.291')|#esc|10|True|1|61.36232231589675
1599|2010-06-24|('47.411', '8.552')|#swisscrmforum|6|True|1|51.04291714265652
250|2010-03-22|('47.054', '8.311')|#4to7|6|True|1|43.38651010693605
1149|2010-06-03|('47.382', '8.536')|#twitref|6|True|1|34.304789465130284
4283|2010-11-03|('47.365', '8.548')|#smgzh|7|True|1|17.118486314395472
5215|2010-12-06|('46.960', '7.465')|#onerepulic|5|True|1|14.731299256269889
3740|2010-10-15|('47.567', '7.597')|#gotthard|5|True|1|14.179435030274577
5083|2010-12-03|('47.588', '9.624')|#ff|5|True|1|12.737560380404265
5292|2010-12-08|('47.364', '8.535')|#iabc|6|True|1|9.416763765477707
5293|2010-12-08|('47.364', '8.535')|#switzerland|6|True|1|9.416763765477707
1591|2010-06-24|('47.411', '8.551')|#swisscrmforum|5|True|1|6.134414759734171
