|hashtag|dayOfTweet|usersPerHashtag|spamEvent|std|approxLocation|compound|area
0|#sui|2014-07-01|111|False|160.2288912867|('46.236', '6.080')|0.6130666667|GE
1|#ger|2014-07-13|102|False|179.3505865712|('47.299', '8.445')|0.28595|ZH
2|#frahon|2014-06-15|100|False|90.7887942982|('47.528', '6.817')|-0.14948|Bourgogne Franche-Comté
3|#brager|2014-07-08|92|False|67.2165541015|('46.224', '7.280')|-0.15416|VS
4|#breall|2014-07-08|92|False|54.9484915646|('47.753', '7.305')|-0.29826|Grand Est
5|#sui|2014-06-20|83|False|231.5968996143|('46.520', '6.638')|0.0772|VD
6|#suifra|2014-06-20|82|False|178.9615021087|('46.224', '7.280')|0.2497|VS
7|#ger|2014-07-08|80|False|97.5886297102|('46.205', '6.143')|0.51275|GE
8|#frasui|2014-06-20|77|False|173.0058711045|('46.530', '6.025')|0.1834333333|Bourgogne Franche-Comté
9|#franig|2014-06-30|75|False|112.3692332346|('47.562', '6.853')|-0.0816|Bourgogne Franche-Comté
10|#gerarg|2014-07-13|74|False|125.8880979315|('47.377', '8.537')|0.270925|ZH
11|#bra|2014-07-08|73|False|93.3629661269|('47.470', '6.686')|-0.347|Bourgogne Franche-Comté
12|#arg|2014-07-13|71|False|154.3726933329|('46.375', '6.921')|0.5365|VD
13|#suiecu|2014-06-15|71|False|91.5631204446|('47.052', '8.297')|0.127375|LU
14|#argsui|2014-07-01|65|False|115.9236262014|('47.377', '8.537')|0.675|ZH
15|#ss8|2014-07-18|62|False|103.6563251918|('47.681', '7.408')|0.0439333333|Grand Est
16|#fra|2014-06-20|60|False|231.5536084472|('46.246', '6.133')|0.13065|GE
17|#cdm2014|2014-06-12|59|False|238.742224614|('47.473', '6.761')|0|Bourgogne Franche-Comté
18|#fra|2014-07-04|59|False|168.0268841971|('47.528', '6.817')|0|Bourgogne Franche-Comté
19|#riprobinwilliams|2014-08-12|57|False|305.7054557474|('46.262', '9.846')|0|Lombardia
20|#nedarg|2014-07-09|57|False|121.8414143849|('47.709', '9.152')|-0.2286|Baden-Württemberg
21|#fraall|2014-07-04|55|False|123.7050189479|('47.618', '6.152')|0.148|Bourgogne Franche-Comté
22|#espchi|2014-06-18|54|False|77.5493005179|('46.375', '6.921')|0.181|VD
23|#por|2014-06-16|50|False|205.8417066389|('47.474', '6.693')|0.31245|Bourgogne Franche-Comté
24|#thevoice|2014-01-18|50|False|40.5909987867|('47.486', '6.821')|0|Bourgogne Franche-Comté
25|#lrt|2014-07-15|48|False|447.301384528|('47.755', '7.313')|0|Grand Est
26|#esc|2014-05-10|48|False|94.2747758473|('47.601', '7.665')|-0.0258|Baden-Württemberg
27|#cdm2014|2014-06-15|47|False|325.1551993652|('46.294', '7.532')|0.21215|VS
28|#lrt|2014-06-18|46|False|298.7560683476|('47.633', '6.819')|0.7673|Bourgogne Franche-Comté
29|#bra|2014-07-04|46|False|158.5574494281|('47.470', '6.686')|0|Bourgogne Franche-Comté
30|#arg|2014-07-09|46|False|148.4521633805|('46.375', '6.921')|0.34|VD
31|#lrt|2014-07-08|45|False|349.1041210199|('46.194', '6.103')|0.4711666667|GE
32|#fra|2014-06-30|45|False|184.7732340013|('47.528', '6.817')|0.1503666667|Bourgogne Franche-Comté
33|#lrt|2014-02-09|44|False|392.7297119026|('46.222', '6.128')|0|GE
34|#col|2014-07-04|44|False|161.6263701986|('47.528', '6.817')|0.5697|Bourgogne Franche-Comté
35|#thevoice|2014-01-25|44|False|46.0091248224|('46.246', '6.133')|0.8439|GE
36|#lrt|2014-01-01|43|False|344.6713707048|('46.136', '6.026')|0|Auvergne-Rhône-Alpes
37|#esp|2014-06-18|43|False|144.8900471572|('47.474', '6.693')|0|Bourgogne Franche-Comté
38|#por|2014-06-22|42|False|229.8458830136|('46.213', '6.112')|-0.1853|GE
39|#gha|2014-06-21|42|False|106.4017859513|('47.377', '8.537')|0.7088|ZH
40|#lt|2014-01-04|41|False|390.1327471975|('45.904', '6.129')|0|Auvergne-Rhône-Alpes
41|#lrt|2014-06-16|41|False|272.0996399096|('46.391', '6.591')|-0.148|Auvergne-Rhône-Alpes
42|#chi|2014-06-18|41|False|121.3644753495|('47.474', '6.693')|0|Bourgogne Franche-Comté
43|#ballondor|2014-01-13|41|False|96.6310313863|('46.248', '7.318')|0.4363|VS
44|#lt|2014-01-02|40|False|435.6562533943|('45.904', '6.129')|-0.2263|Auvergne-Rhône-Alpes
45|#lrt|2014-06-20|40|False|347.8154285671|('46.321', '6.965')|0.1623|VD
46|#wm2014|2014-06-15|40|False|278.1909306211|('47.299', '8.531')|0|ZH
47|#ep2014|2014-05-25|39|False|281.7860132803|('47.741', '7.607')|-0.2022|Baden-Württemberg
48|#abst14|2014-02-09|39|False|166.9235834362|('47.420', '8.545')|-0.1646333333|ZH
49|#coupedumonde|2014-06-12|38|False|314.4651632743|('47.305', '6.145')|-0.5574|Bourgogne Franche-Comté
50|#ger|2014-06-30|38|False|228.4531580995|('46.184', '6.121')|0|GE
51|#honsui|2014-06-25|38|False|147.6548636293|('47.495', '8.507')|-0.1062333333|ZH
52|#geralg|2014-06-30|38|False|107.7294161336|('46.943', '8.276')|0.2083|OW
53|#allarg|2014-07-13|38|False|90.9744573986|('46.375', '6.921')|-0.1914|VD
54|#lrt|2014-08-14|37|False|390.091724386|('47.681', '6.500')|-0.5583|Bourgogne Franche-Comté
55|#gerpor|2014-06-16|37|False|135.0413830787|('47.554', '9.697')|0|Bayern
56|#italiauruguay|2014-06-24|37|False|99.6342819579|('46.006', '8.296')|-0.13295|Piemonte
57|#eurovisionsongcontest2014|2014-05-10|37|False|64.1852117641|('46.943', '8.276')|0|OW
58|#bra|2014-06-28|36|False|126.0707233114|('47.371', '8.510')|-0.10465|ZH
59|#eurovision|2014-05-10|36|False|78.6402190678|('46.524', '6.466')|0.0956|VD
60|#belusa|2014-07-01|36|False|61.399757913|('46.512', '6.658')|0.193975|VD
61|#lrt|2014-08-03|35|False|391.2649815574|('46.179', '6.120')|0.6467|GE
62|#lrt|2014-06-12|35|False|262.993552878|('47.473', '6.761')|-0.5574|Bourgogne Franche-Comté
63|#ss8|2014-08-15|35|False|141.2121279091|('47.681', '7.408')|-0.0206333333|Grand Est
64|#sanremo2014|2014-02-18|35|False|107.5662499233|('45.861', '9.418')|-0.57875|Lombardia
65|#missfrance2015|2014-12-06|35|False|64.7489024819|('46.196', '6.237')|0.148|Auvergne-Rhône-Alpes
66|#lrt|2014-03-04|34|False|413.7808438574|('47.381', '6.381')|-0.0714666667|Bourgogne Franche-Comté
67|#lrt|2014-09-16|34|False|267.0113646334|('47.512', '6.800')|0.4772|Bourgogne Franche-Comté
68|#cdm2014|2014-06-13|34|False|182.8883116276|('47.520', '6.805')|0|Bourgogne Franche-Comté
69|#ned|2014-07-05|34|False|163.8546363662|('47.730', '8.589')|0.4019|SH
70|#gergha|2014-06-21|34|False|89.8075832187|('46.224', '7.280')|-0.21835|VS
71|#lt|2014-03-23|32|False|373.3795445039|('45.904', '6.129')|0|Auvergne-Rhône-Alpes
72|#lt|2014-06-01|32|False|314.2037163628|('45.904', '6.129')|-0.5864|Auvergne-Rhône-Alpes
73|#ff|2014-03-07|32|False|298.8882200683|('45.903', '6.099')|-0.2177333333|Auvergne-Rhône-Alpes
74|#col|2014-06-28|32|False|174.8160933793|('46.517', '6.608')|0.4303|VD
75|#brachi|2014-06-28|32|False|78.3471534726|('47.626', '10.511')|-0.1027|Bayern
76|#lrt|2014-07-16|31|False|393.1797510991|('46.375', '6.921')|0.4003|VD
77|#worldcup2014|2014-06-13|31|False|276.0336680385|('46.686', '7.849')|0.6698|BE
78|#wm2014|2014-06-12|31|False|256.7004678806|('46.943', '8.276')|-0.6239|OW
79|#lrt|2014-09-21|31|False|238.3223348132|('46.190', '6.115')|-0.7717|GE
80|#ss8|2014-08-08|31|False|164.4242757404|('47.681', '7.408')|0.2559|Grand Est
81|#ned|2014-06-29|31|False|111.3469422136|('47.416', '9.361')|0|SG
82|#cdm2014|2014-06-20|30|False|210.7086149158|('46.221', '6.110')|0.3612|GE
83|#bra|2014-06-17|30|False|174.7807978609|('46.201', '7.009')|-0.8038|VS
84|#belalg|2014-06-17|30|False|104.812707128|('46.375', '6.920')|0.25|VD
85|#ita|2014-06-14|29|False|217.4302678882|('46.246', '6.133')|0|GE
86|#ita|2014-06-24|29|False|208.7030047282|('46.375', '6.921')|-0.6449|VD
87|#eng|2014-06-19|29|False|134.3188342906|('47.432', '9.391')|0|SG
88|#frajam|2014-06-08|29|False|103.1379337162|('47.528', '6.817')|0.474|Bourgogne Franche-Comté
89|#murrayftw|2014-11-11|29|False|19.9360596382|('47.181', '8.489')|0.259575|ZG
90|#lrt|2014-08-01|28|False|391.0881465888|('47.478', '6.830')|0|Bourgogne Franche-Comté
91|#lrt|2014-08-18|28|False|313.0184208867|('47.516', '7.005')|0.6369|Bourgogne Franche-Comté
92|#lrt|2014-04-18|28|False|298.4499096325|('46.777', '6.631')|-0.3243|VD
93|#lrt|2014-04-06|28|False|295.5295666986|('46.400', '6.587')|0|Auvergne-Rhône-Alpes
