|hashtag|dayOfTweet|usersPerHashtag|spamEvent|std|approxLocation|compound|area
0|#prayforparis|2015-11-14|131|False|343.3105484345|('46.205', '6.143')|-0.1259444444|GE
1|#jesuischarlie|2015-01-07|119|False|170.4703791603|('47.485', '6.914')|0.075075|Bourgogne Franche-Comté
2|#charliehebdo|2015-01-07|113|False|210.0280816839|('46.205', '6.143')|-0.3542|GE
3|#jesuischarlie|2015-01-08|92|False|328.2243316608|('46.201', '6.130')|0.05517|GE
4|#prayforparis|2015-11-13|67|False|33.0761707766|('46.205', '6.143')|0.21075|GE
5|#parisattacks|2015-11-14|65|False|303.562365155|('47.377', '8.537')|-0.54205|ZH
6|#jesuischarlie|2015-01-11|57|False|277.271251522|('47.377', '8.537')|0.16626|ZH
7|#nma|2015-11-07|43|False|101.7874101|('47.201', '5.941')|0.11554|Bourgogne Franche-Comté
8|#paris|2015-11-13|42|False|38.5855997843|('47.201', '5.941')|-0.22445|Bourgogne Franche-Comté
9|#fusillade|2015-11-13|42|False|36.2589365474|('47.722', '7.283')|-0.1405|Grand Est
10|#paris|2015-11-14|40|False|338.5214734896|('47.377', '8.537')|0.127025|ZH
11|#fifa|2015-05-27|40|False|272.8238612121|('47.377', '8.537')|0.1091333333|ZH
12|#missfrance2016|2015-12-19|36|False|64.6541989094|('47.722', '7.283')|0.071825|Grand Est
13|#happynewyear|2015-12-31|33|False|334.4361921006|('46.813', '8.224')|0.4493|OW
14|#brw15|2015-12-09|33|False|167.0600231325|('46.853', '9.533')|0.6367|GR
15|#job|2015-07-11|31|False|319.6900947581|('47.455', '8.287')|0.1204|AG
16|#job|2015-08-18|31|False|299.9397957694|('46.948', '7.445')|0.765|BE
17|#job|2015-08-25|31|False|277.3147984283|('46.198', '6.142')|0.3110333333|GE
18|#job|2015-07-13|31|False|270.3220694042|('46.198', '6.142')|0.765|GE
19|#job|2015-09-01|31|False|269.043165851|('46.198', '6.142')|0.0386|GE
20|#job|2015-08-08|31|False|259.7157623563|('47.367', '8.550')|0|ZH
21|#job|2015-08-04|31|False|245.4664650305|('46.198', '6.142')|0|GE
22|#esc2015|2015-05-23|31|False|98.4811036189|('47.668', '9.471')|0.3343|Baden-Württemberg
23|#job|2015-08-19|30|False|302.0190927739|('46.198', '6.142')|0.0386|GE
24|#job|2015-09-02|30|False|291.5056424516|('46.198', '6.142')|0.2807333333|GE
25|#job|2015-07-03|30|False|287.7143864465|('47.367', '8.550')|0.2839666667|ZH
26|#fifa|2015-05-29|30|False|274.8217226204|('47.377', '8.537')|-0.034|ZH
27|#job|2015-07-01|30|False|266.158763931|('46.948', '7.445')|0.17975|BE
28|#job|2015-07-23|30|False|263.8952998906|('46.198', '6.142')|0|GE
29|#job|2015-08-23|30|False|253.8199671636|('46.198', '6.142')|0.148|GE
30|#job|2015-08-17|30|False|251.9762594716|('47.367', '8.550')|0|ZH
31|#job|2015-08-10|30|False|245.8330709577|('46.198', '6.142')|0.2192|GE
32|#job|2015-11-12|30|False|236.2374101888|('46.198', '6.142')|0.3818|GE
33|#job|2015-07-02|30|False|232.6972700938|('46.198', '6.142')|0|GE
34|#job|2015-06-27|29|False|299.6231769841|('46.948', '7.445')|0.296|BE
