|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
355700|2016-06-24|('47.377', '8.537')|#brexit|24|False|17|183.31147972523377
110635|2016-02-28|('47.377', '8.537')|#abst16|22|False|12|139.99464199211835
343885|2016-06-19|('46.205', '6.143')|#sui|24|False|12|128.14345889314353
363079|2016-06-27|('47.377', '8.537')|#brexit|13|False|10|330.6693293132204
355667|2016-06-24|('46.205', '6.143')|#brexit|13|False|9|314.8283163677979
281602|2016-05-23|('46.204', '6.143')|#geneva|12|False|9|209.42357230953942
118832|2016-03-03|('46.198', '6.142')|#geneva|10|False|9|157.3672857080248
118833|2016-03-03|('46.198', '6.142')|#job|10|False|9|157.3672857080248
197583|2016-04-12|('46.204', '6.143')|#geneva|11|False|8|309.4718845662824
197790|2016-04-12|('46.204', '6.143')|#hiring|10|False|8|309.28872130260424
197584|2016-04-12|('46.204', '6.143')|#job|11|False|8|309.2377320773004
372184|2016-07-01|('47.377', '8.537')|#zuerifaescht|11|False|8|298.7083526841341
77964|2016-02-10|('46.198', '6.142')|#veterans|9|False|8|263.55457370270756
77962|2016-02-10|('46.198', '6.142')|#job|11|False|8|243.22109473247795
58556|2016-01-31|('46.948', '7.445')|#job|11|False|8|224.88520688653662
58557|2016-01-31|('46.948', '7.445')|#bern|12|False|8|220.03569233387742
283749|2016-05-24|('46.205', '6.143')|#wha69|55|False|8|212.153838143303
82043|2016-02-12|('46.198', '6.142')|#job|10|False|8|210.86361986022044
281601|2016-05-23|('46.204', '6.143')|#job|11|False|8|209.85561719637272
6970|2016-01-05|('46.948', '7.445')|#bern|13|False|8|208.06285512580862
210317|2016-04-18|('47.377', '8.537')|#sechselaeuten|11|False|8|194.74858959612163
168326|2016-03-28|('47.567', '7.598')|#hiring|8|False|8|182.34423332555195
168328|2016-03-28|('47.567', '7.598')|#job|8|False|8|182.34423332555195
66756|2016-02-04|('46.198', '6.142')|#job|11|False|8|181.82072642158766
112998|2016-02-29|('46.205', '6.143')|#hrc31|27|False|8|177.12577873837205
163389|2016-03-25|('46.198', '6.142')|#job|9|False|8|169.91684194211882
110634|2016-02-28|('47.377', '8.537')|#dsinein|11|False|8|163.386466353586
173232|2016-03-31|('46.198', '6.142')|#job|9|False|8|159.7380838715598
173235|2016-03-31|('46.198', '6.142')|#geneva|9|False|8|159.7380838715598
96332|2016-02-21|('46.198', '6.142')|#geneva|9|False|8|157.5396252328871
