|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
85893|2013-02-07|('46.220', '6.138')|#lift13|17|False|6|238.7076329956067
489536|2013-11-16|('46.955', '7.445')|#avatarday|9|False|5|47.66015178938382
21202|2013-01-11|('47.260', '6.012')|#ff|9|False|4|249.31707316150988
406089|2013-10-02|('47.417', '8.561')|#tedxzurich|5|False|4|210.64329158292432
88278|2013-02-08|('46.220', '6.138')|#lift13|18|False|4|148.91390264590666
440039|2013-10-21|('47.385', '8.491')|#ccczh|10|False|4|22.354013062535326
469738|2013-11-06|('47.365', '8.548')|#smgzh|5|False|4|19.834524894178276
62251|2013-01-28|('46.233', '6.135')|#jobs|9|False|3|410.03364902570297
457190|2013-10-30|('46.233', '6.135')|#jobs|8|False|3|338.1049311601746
231873|2013-04-16|('46.224', '6.140')|#jobs|5|False|3|327.28265449506074
538600|2013-12-09|('46.233', '6.135')|#jobs|9|False|3|281.8898307015513
97999|2013-02-12|('45.800', '9.084')|#rt|25|False|3|230.7696557811129
406206|2013-10-02|('47.377', '8.537')|#tedxzurich|12|False|3|229.8472277277579
489234|2013-11-16|('45.817', '8.826')|#glocal13|30|False|3|227.94375601488375
169011|2013-03-15|('47.427', '8.671')|#ff|5|False|3|227.23341044446397
192633|2013-03-26|('47.366', '8.537')|#smm13|16|False|3|207.61071827553113
485978|2013-11-14|('45.817', '8.826')|#glocal13|31|False|3|167.0128293522014
166080|2013-03-14|('46.516', '6.638')|#smscl|6|False|3|162.89839842637053
295638|2013-05-16|('47.411', '8.553')|#one2013|8|False|3|142.29953063615787
88584|2013-02-08|('46.205', '6.143')|#lift13|9|False|3|124.10651524476981
230567|2013-04-15|('47.377', '8.537')|#sl13|7|False|3|123.33702228349621
307636|2013-05-21|('46.233', '6.135')|#jobs|5|False|3|110.68155502260629
85904|2013-02-07|('46.205', '6.143')|#lift13|25|False|3|110.12339520132254
121860|2013-02-23|('47.546', '7.595')|#scs13|39|False|3|108.98998086116663
111232|2013-02-18|('47.866', '7.223')|#teamalsace|7|False|3|106.71590222102832
149244|2013-03-07|('45.800', '9.084')|#rt|10|False|3|97.60177998149193
307777|2013-05-21|('46.221', '6.141')|#jobs|5|False|3|86.61151924927003
278880|2013-05-08|('46.229', '6.134')|#jobs|8|False|3|85.33966122371112
223545|2013-04-12|('47.427', '8.671')|#ff|5|False|3|82.28642158811972
18872|2013-01-10|('46.206', '6.138')|#creadigitalday|6|False|3|77.10376811219257
231179|2013-04-15|('46.246', '6.133')|#prayforboston|6|False|3|76.95934638086767
219011|2013-04-10|('47.411', '8.553')|#som13|8|False|3|71.58703182141302
522455|2013-12-01|('47.558', '7.588')|#basel|6|False|3|67.64130248944895
514915|2013-11-28|('46.233', '6.135')|#jobs|6|False|3|66.04445221371648
57439|2013-01-26|('47.752', '7.326')|#nma|18|False|3|53.3982877031617
182495|2013-03-21|('47.365', '8.538')|#bosw|20|False|3|50.370622335290236
83907|2013-02-06|('46.220', '6.138')|#lift13|5|False|3|44.482325578693484
204631|2013-04-03|('47.377', '8.537')|#smgzh|6|False|3|43.43381690131877
392165|2013-09-24|('46.206', '6.138')|#scma|6|False|3|40.251742255828276
484301|2013-11-13|('46.221', '6.098')|#jobs|5|False|3|31.92224407316421
208328|2013-04-05|('46.233', '6.135')|#jobs|6|False|3|30.85472631222758
85768|2013-02-07|('46.233', '6.135')|#jobs|5|False|3|29.98583925047881
204669|2013-04-03|('47.365', '8.548')|#smgzh|8|False|3|24.876971498506403
376992|2013-06-23|('47.377', '8.537')|#tatort|6|False|3|24.470195400996758
85858|2013-02-07|('47.385', '8.521')|#socialhub|5|False|3|15.51629824124014
335009|2013-06-03|('46.233', '6.135')|#jobs|6|False|3|15.438890888009146
83462|2013-02-06|('46.950', '7.441')|#smgbe|10|False|3|14.686502117401693
274596|2013-05-06|('46.233', '6.135')|#jobs|7|False|3|14.635794657645722
402883|2013-09-30|('46.233', '6.135')|#jobs|6|False|3|9.438285982314301
53435|2013-01-25|('47.498', '8.734')|#zurichcm|6|False|3|8.32265287789452
319991|2013-05-27|('46.233', '6.135')|#jobs|6|False|3|2.94312470423722
276766|2013-05-07|('46.233', '6.135')|#jobs|5|False|3|2.1800713545916595
30031|2013-01-15|('46.255', '6.057')|#lhc|28|False|2|483.35456579675866
524177|2013-12-02|('45.901', '6.101')|#lt|5|False|2|464.3276117618297
48506|2013-01-23|('46.255', '6.057')|#lhc|36|False|2|464.1907388531541
69122|2013-01-31|('46.255', '6.057')|#lhc|22|False|2|457.72381666979385
55668|2013-01-26|('46.255', '6.057')|#lhc|40|False|2|457.35068972148196
87867|2013-02-08|('46.255', '6.057')|#lhc|47|False|2|454.20503073604135
83234|2013-02-06|('46.255', '6.057')|#lhc|60|False|2|451.8519718940623
103857|2013-02-15|('46.255', '6.057')|#lhc|34|False|2|445.0660456520028
25227|2013-01-13|('46.255', '6.057')|#lhc|17|False|2|443.4759154818408
27875|2013-01-14|('46.255', '6.057')|#lhc|51|False|2|442.68554721168783
46570|2013-01-22|('46.255', '6.057')|#lhc|24|False|2|429.6391059189986
92884|2013-02-10|('46.255', '6.057')|#lhc|68|False|2|428.44680267530384
78589|2013-02-04|('46.255', '6.057')|#lhc|81|False|2|420.724802057756
101892|2013-02-14|('46.255', '6.057')|#lhc|73|False|2|418.58057891523794
95341|2013-02-11|('46.255', '6.057')|#lhc|72|False|2|414.3895912183746
75711|2013-02-03|('45.800', '9.084')|#rt|5|False|2|405.39760641731584
97639|2013-02-12|('46.255', '6.057')|#lhc|56|False|2|403.1737179248026
81086|2013-02-05|('46.255', '6.057')|#lhc|58|False|2|397.46717379265044
67036|2013-01-30|('46.255', '6.057')|#lhc|40|False|2|396.1043642980625
38985|2013-01-19|('46.255', '6.057')|#lhc|59|False|2|390.6707022417886
59338|2013-01-27|('46.255', '6.057')|#lhc|51|False|2|389.86875277043475
75715|2013-02-03|('46.255', '6.057')|#lhc|56|False|2|387.5982800281116
53060|2013-01-25|('46.255', '6.057')|#lhc|53|False|2|387.2803878713117
71172|2013-02-01|('46.255', '6.057')|#lhc|48|False|2|387.18438491915794
50747|2013-01-24|('46.255', '6.057')|#lhc|47|False|2|383.2641418715623
73427|2013-02-02|('46.255', '6.057')|#lhc|66|False|2|380.4247108770045
44259|2013-01-21|('46.255', '6.057')|#lhc|57|False|2|374.7261549623296
85650|2013-02-07|('46.255', '6.057')|#lhc|73|False|2|373.3324833292382
41396|2013-01-20|('46.255', '6.057')|#lhc|106|False|2|366.0812391693332
274489|2013-05-06|('46.187', '6.199')|#lrt|7|False|2|351.80821421882234
64557|2013-01-29|('46.255', '6.057')|#lhc|48|False|2|348.15532925527003
90556|2013-02-09|('46.255', '6.057')|#lhc|42|False|2|347.44866383087225
20675|2013-01-11|('46.255', '6.057')|#lhc|35|False|2|346.80990026329255
99969|2013-02-13|('46.255', '6.057')|#lhc|54|False|2|342.7758065781385
62184|2013-01-28|('46.255', '6.057')|#lhc|60|False|2|329.7766054199876
23149|2013-01-12|('46.255', '6.057')|#lhc|17|False|2|329.68451748716075
32359|2013-01-16|('46.255', '6.057')|#lhc|15|False|2|327.7240513143284
33999|2013-01-17|('46.255', '6.057')|#lhc|34|False|2|322.65983685061394
36335|2013-01-18|('46.255', '6.057')|#lhc|44|False|2|318.94303617728843
540403|2013-12-10|('46.221', '6.098')|#jobs|5|False|2|305.49101066970866
83627|2013-02-06|('47.795', '8.917')|#konstanz|6|False|2|291.5448909274966
200418|2013-03-30|('45.800', '9.084')|#rt|5|False|2|274.9713058565283
248221|2013-04-24|('46.233', '6.135')|#jobs|5|False|2|266.0876432472746
330465|2013-06-01|('46.205', '6.143')|#lrt|5|False|2|262.29373449542317
554157|2013-12-16|('46.221', '6.098')|#jobs|9|False|2|259.5243156592102
396727|2013-09-27|('46.234', '6.048')|#cerntweetup|11|False|2|259.16630783991883
146997|2013-03-06|('45.800', '9.084')|#rt|17|False|2|245.54478318194057
95543|2013-02-11|('47.388', '8.618')|#familienartikel|5|False|2|245.2208392449549
272246|2013-05-05|('46.187', '6.199')|#lrt|6|False|2|243.14582452311348
21239|2013-01-11|('46.793', '9.822')|#davos|10|False|2|234.5308944586098
228214|2013-04-14|('46.189', '6.137')|#lt|6|False|2|233.53506590268802
419774|2013-10-11|('47.464', '6.846')|#bbl|5|False|2|228.57503460449144
254706|2013-04-27|('47.497', '8.769')|#drfc|7|False|2|214.12356447079338
127201|2013-02-25|('45.800', '9.084')|#rt|7|False|2|212.0202677707446
340935|2013-06-06|('47.478', '6.629')|#wwdc13|8|False|2|202.851872398104
487566|2013-11-15|('45.817', '8.826')|#glocal13|22|False|2|197.65468961526165
347358|2013-06-09|('46.175', '6.141')|#teamfrance|5|False|2|196.15882131012557
64953|2013-01-29|('46.439', '6.904')|#emec13|17|False|2|192.70760032592287
56209|2013-01-26|('47.417', '8.560')|#srfthx|12|False|2|191.99190284012718
532735|2013-12-06|('46.524', '6.633')|#postdigitalc|12|False|2|190.47569999802514
384660|2013-09-20|('47.377', '8.537')|#dwahlwette|5|False|2|187.74926039209257
274607|2013-05-06|('46.221', '6.098')|#jobs|8|False|2|186.78549248802236
166265|2013-03-14|('46.205', '6.114')|#lrt|5|False|2|185.15812983621444
86242|2013-02-07|('47.260', '6.012')|#starac|7|False|2|183.21650102314894
317973|2013-05-26|('46.205', '6.143')|#np|9|False|2|182.405216004885
192709|2013-03-26|('47.365', '8.539')|#smm13|39|False|2|179.60672754485088
393403|2013-09-25|('46.205', '6.143')|#hrc24|8|False|2|178.4658403258014
400469|2013-09-29|('46.813', '8.224')|#mpn|31|False|2|177.94617842613067
400470|2013-09-29|('46.813', '8.224')|#pollo|31|False|2|177.94617842613067
30898|2013-01-15|('45.932', '6.929')|#chamonix|6|False|2|174.04124983324647
233935|2013-04-17|('46.175', '6.140')|#tedxgeneva|9|False|2|173.72032955654493
84041|2013-02-06|('46.205', '6.143')|#lift13|7|False|2|170.15099466766148
548900|2013-12-14|('46.948', '7.451')|#bern|10|False|2|168.63777971505144
100547|2013-02-13|('45.800', '9.084')|#rt|13|False|2|166.77892214681188
466242|2013-11-04|('46.233', '6.135')|#jobs|6|False|2|165.53895330624871
163633|2013-03-13|('46.722', '7.061')|#np|23|False|2|165.27856778010818
104215|2013-02-15|('47.427', '8.671')|#ff|7|False|2|164.47408824172837
154347|2013-03-09|('46.205', '6.114')|#lrt|5|False|2|160.20800070186533
265175|2013-05-02|('47.743', '7.332')|#potterheadscelebratethebattleofhogwarts|11|False|2|155.99468300197034
175985|2013-03-18|('45.800', '9.084')|#rt|5|False|2|144.85981253918874
459090|2013-10-31|('47.373', '8.573')|#ibmbcch|6|False|2|138.6237560475864
350004|2013-06-10|('47.478', '6.629')|#wwdc|27|False|2|135.7006767463234
39641|2013-01-19|('46.459', '6.910')|#np|6|False|2|135.5778721668706
105901|2013-02-16|('46.255', '6.057')|#lhc|13|False|2|131.47648881246278
73858|2013-02-02|('47.417', '8.560')|#srfthx|9|False|2|130.36848252000135
122765|2013-02-23|('47.377', '8.537')|#wettendass|7|False|2|127.48015905379529
19602|2013-01-10|('45.757', '9.854')|#berlusconi|7|False|2|126.32387576108317
306094|2013-05-20|('46.246', '6.133')|#lrt|9|False|2|124.75848951653424
242882|2013-04-21|('45.900', '9.392')|#staystronggelato|5|False|2|119.96422040666037
86249|2013-02-07|('47.031', '8.175')|#luzern|5|False|2|113.49398055501548
57100|2013-01-26|('47.866', '7.223')|#nma|8|False|2|111.07983629075953
240686|2013-04-20|('47.260', '6.012')|#thevoice|7|False|2|109.20509641907849
134770|2013-03-01|('47.427', '8.671')|#ff|5|False|2|105.51828783043565
212440|2013-04-07|('47.377', '8.537')|#rlag|8|False|2|103.4523551560156
161333|2013-03-12|('47.363', '8.525')|#fbconferencech|16|False|2|99.21002641002464
478213|2013-11-10|('47.260', '6.012')|#emazing|14|False|2|98.77415626356033
7346|2013-01-04|('47.427', '8.671')|#ff|5|False|2|95.81424737480329
320872|2013-05-27|('47.497', '8.769')|#fcwinti|7|False|2|95.46007006766891
73918|2013-02-02|('47.416', '8.561')|#srfthx|6|False|2|94.67480386910935
530625|2013-12-05|('46.228', '6.142')|#unrightsat20|9|False|2|94.29732593776106
