|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
191438|2012-08-11|('47.367', '8.542')|#stp12|15|False|12|240.95659878651475
367194|2012-11-24|('46.955', '7.445')|#avatarday|12|False|10|56.88209681337181
4054|2012-02-22|('46.220', '6.138')|#lift12|20|False|9|111.22338539011884
312865|2012-11-01|('46.950', '7.441')|#mobicamp|17|False|7|183.855973319915
297730|2012-10-25|('47.416', '8.561')|#tedxzurich|33|False|7|162.28092554592243
7793|2012-03-29|('47.365', '8.538')|#bosw|20|False|7|73.49628835583009
264748|2012-10-06|('46.475', '7.285')|#gas2012|9|False|6|331.87471743521286
203691|2012-08-18|('47.383', '8.504')|#mdna|8|False|6|102.19337640256117
88884|2012-06-09|('47.659', '9.433')|#bcbs12|22|False|5|221.98613630302185
35046|2012-05-09|('47.377', '8.537')|#one12|13|False|5|193.89687236709355
4202|2012-02-23|('46.220', '6.138')|#lift12|40|False|5|180.98882601280405
200990|2012-08-17|('46.246', '6.133')|#ff|11|False|5|175.3363059091888
232422|2012-09-06|('47.377', '8.537')|#fec12|18|False|5|153.0591360966773
295918|2012-10-24|('46.963', '7.465')|#ceoday|12|False|5|135.80328876997322
22853|2012-04-30|('46.516', '6.638')|#scma|16|False|5|58.107792470459025
363295|2012-11-22|('46.206', '6.138')|#mdw12|14|False|5|31.14949643441951
348822|2012-11-16|('47.260', '6.012')|#ff|6|False|4|340.36690170722795
250196|2012-09-28|('47.375', '8.539')|#iphone5|17|False|4|233.6282620508742
264923|2012-10-06|('46.432', '7.336')|#gas2012|5|False|4|207.10923757497852
239998|2012-09-22|('45.800', '9.084')|#italyneedsonedirection|6|False|4|155.67667449886218
109595|2012-06-23|('47.574', '8.528')|#twittboat|5|False|4|139.40463231582768
235713|2012-09-19|('46.516', '6.638')|#smscl|34|False|4|113.1008534494325
87997|2012-06-08|('46.758', '7.630')|#twitanic|7|False|4|112.11117098605268
38784|2012-05-10|('47.372', '8.536')|#gba12|20|False|4|95.39239494422212
280832|2012-10-14|('47.377', '8.537')|#stratos|5|False|4|94.75700818409156
