userId|tweetsHome|homeLatitude|homeLongitude|tweetsWork|workLatitude|workLongitude|distance|time|homeCanton|workCanton
7173|13.0|47.38|8.53|16.0|47.38|8.54|1.511|5.4|ZH|ZH
17863|5.0|47.38|8.54|18.0|47.37|8.56|3.892|13.55|ZH|ZH
53453|9.0|46.2|6.14|11.0|46.55|6.55|60.948|52.233333333333334|GE|VD
55223|9.0|46.51|6.65|12.0|46.52|6.63|2.536|8.35|VD|VD
99983|56.0|47.5|8.73|23.0|47.43|8.57|23.574|22.966666666666665|ZH|ZH
371243|21.0|46.03|8.98|6.0|46.01|8.94|8.729|12.883333333333333|TI|TI
626163|36.0|46.17|9.0|30.0|46.04|8.92|24.885|21.933333333333334|TI|TI
634553|50.0|46.2|6.2|80.0|46.19|6.13|9.183|21.45|GE|GE
640043|51.0|45.79|9.37|19.0|46.01|8.91|74.209|78.85|Lombardia|TI
714913|47.0|47.43|9.38|12.0|47.42|9.36|2.101|6.616666666666666|SG|SG
754363|7.0|47.43|9.39|11.0|47.38|8.54|84.996|54.15|SG|ZH
759118|57.0|47.14|8.53|138.0|46.2|6.14|298.101|205.5|ZG|GE
788272|15.0|46.37|6.48|18.0|46.21|6.15|35.584|50.416666666666664|Auvergne-Rhône-Alpes|GE
921241|45.0|47.54|9.14|60.0|47.43|8.67|52.51|41.766666666666666|TG|ZH
994621|28.0|47.4|8.5|12.0|47.37|8.55|5.462|16.35|ZH|ZH
1079931|179.0|47.16|8.29|42.0|47.14|8.53|33.076|47.81666666666667|LU|ZG
1315951|21.0|46.49|6.7|18.0|46.52|6.63|6.999|15.933333333333334|VD|VD
1438611|54.0|46.23|7.37|51.0|46.23|7.36|1.766|4.983333333333333|VS|VS
1441291|20.0|46.18|6.14|11.0|46.22|6.14|5.208|18.25|GE|GE
2021381|12.0|47.5|8.73|5.0|47.42|9.36|59.319|40.28333333333333|ZH|SG
2110221|15.0|47.57|7.59|7.0|47.56|7.59|1.824|6.6|BS|BS
2129311|11.0|47.41|8.56|5.0|47.38|8.52|6.284|12.816666666666666|ZH|ZH
2217831|58.0|47.13|8.05|8.0|47.41|8.22|52.856|42.11666666666667|LU|AG
2277901|9.0|47.39|8.37|8.0|47.38|8.54|19.25|34.25|AG|ZH
3558021|23.0|46.53|6.62|23.0|46.2|6.14|64.447|59.46666666666667|VD|GE
3916111|13.0|47.33|8.52|26.0|47.31|8.54|4.157|7.133333333333334|ZH|ZH
4836191|54.0|47.37|8.55|45.0|47.37|8.54|1.391|6.8|ZH|ZH
5429882|6.0|46.64|8.1|12.0|47.38|8.54|144.117|142.61666666666667|BE|ZH
5455452|11.0|47.36|7.95|15.0|47.35|7.91|5.184|10.033333333333333|SO|SO
5506562|68.0|46.26|7.62|37.0|46.59|6.66|145.978|121.25|VS|VD
5738252|19.0|46.72|6.55|13.0|46.54|6.59|23.426|19.366666666666667|VD|VD
5908302|48.0|47.48|8.31|60.0|47.38|8.49|21.936|23.2|AG|ZH
5936932|12.0|47.38|8.54|11.0|47.39|8.52|3.092|7.533333333333333|ZH|ZH
6173342|54.0|47.37|8.51|19.0|47.38|8.52|2.619|9.416666666666666|ZH|ZH
6194482|48.0|47.37|8.54|8.0|47.37|8.53|1.391|5.816666666666666|ZH|ZH
6841132|13.0|47.48|9.46|6.0|47.48|9.47|1.261|3.716666666666667|SG|SG
7091052|28.0|46.23|6.08|12.0|46.2|6.14|7.397|21.783333333333335|GE|GE
7198282|17.0|47.37|8.53|12.0|47.37|8.52|1.074|3.9|ZH|ZH
7278212|9.0|46.8|9.83|8.0|46.22|6.14|423.846|268.6666666666667|GR|GE
7818982|15.0|46.21|6.14|8.0|46.52|6.64|66.748|54.766666666666666|GE|VD
8025622|14.0|46.6|6.83|8.0|46.52|6.9|15.5|22.666666666666668|FR|FR
8077292|63.0|46.69|7.68|41.0|46.96|7.45|41.838|34.43333333333333|BE|BE
8157952|10.0|46.52|6.63|17.0|46.53|6.65|2.62|9.016666666666667|VD|VD
8614392|49.0|47.58|7.57|47.0|46.95|7.45|100.05|72.55|Grand Est|BE
8673832|112.0|47.41|8.72|47.0|47.36|8.52|24.694|32.03333333333333|ZH|ZH
8809222|185.0|47.57|7.6|35.0|47.56|7.58|2.413|8.2|BS|BS
8883972|59.0|47.39|8.62|28.0|47.38|8.54|10.688|16.15|ZH|ZH
9088312|193.0|47.39|8.54|215.0|47.38|8.54|1.674|5.983333333333333|ZH|ZH
9197312|57.0|47.51|8.7|47.0|47.39|8.52|26.888|23.383333333333333|ZH|ZH
9412792|92.0|47.79|7.35|20.0|47.39|8.49|116.212|77.88333333333334|Grand Est|ZH
9605222|11.0|46.81|7.16|73.0|46.52|6.63|78.565|60.46666666666667|FR|VD
10636872|203.0|46.01|8.97|114.0|46.01|8.96|1.934|5.716666666666667|TI|TI
10653682|10.0|47.16|7.35|15.0|46.84|7.66|60.458|53.03333333333333|BE|BE
10839772|10.0|47.38|8.67|9.0|47.37|8.54|19.945|26.833333333333332|ZH|ZH
11801922|8.0|47.51|8.77|21.0|47.38|8.54|35.534|30.083333333333332|ZH|ZH
11855622|17.0|47.37|8.27|11.0|47.18|8.51|43.023|40.38333333333333|AG|ZG
12181922|31.0|46.25|6.2|53.0|46.52|6.58|68.264|56.05|GE|VD
12355682|21.0|47.45|9.16|13.0|47.44|9.14|2.305|5.216666666666667|SG|SG
12391462|14.0|47.42|9.37|17.0|46.85|9.51|107.357|64.78333333333333|SG|GR
12392362|26.0|47.37|8.53|6.0|47.09|8.28|50.332|36.333333333333336|ZH|LU
12684482|28.0|46.54|6.58|49.0|46.52|6.56|3.65|8.2|VD|VD
12960732|15.0|47.38|8.52|7.0|47.38|8.53|1.501|6.15|ZH|ZH
13348402|14.0|46.93|7.44|11.0|46.82|8.04|71.322|87.15|BE|LU
13448872|38.0|46.25|6.11|100.0|46.23|6.08|4.302|7.066666666666666|Auvergne-Rhône-Alpes|GE
13688402|47.0|46.49|9.83|22.0|46.49|9.81|4.63|16.583333333333332|GR|GR
13994272|35.0|47.14|7.48|23.0|46.96|7.45|31.172|34.45|SO|BE
14096478|23.0|46.19|6.14|29.0|46.2|6.14|1.335|5.3|GE|GE
14102613|6.0|47.3|7.95|8.0|47.38|8.54|59.931|51.233333333333334|AG|ZH
14106683|15.0|47.41|8.12|18.0|47.4|8.13|2.815|4.666666666666667|AG|AG
14143700|9.0|46.95|7.44|11.0|46.97|7.5|9.547|15.5|BE|BE
14145240|20.0|47.36|8.53|22.0|47.32|8.52|5.746|10.983333333333333|ZH|ZH
14163152|112.0|47.42|8.37|22.0|47.38|8.54|15.775|23.916666666666668|AG|ZH
14164775|29.0|47.38|8.49|32.0|47.37|8.53|4.248|13.233333333333333|ZH|ZH
14166349|25.0|47.36|8.57|8.0|47.2|8.79|35.483|37.583333333333336|ZH|SZ
14182911|131.0|46.53|6.63|65.0|46.53|6.61|2.715|8.916666666666666|VD|VD
14184860|52.0|46.81|8.22|122.0|47.38|8.54|82.942|79.45|OW|ZH
14187782|16.0|45.8|9.09|10.0|45.98|8.93|37.272|34.06666666666667|Lombardia|TI
