|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
187164|2015-06-11|('46.255', '6.057')|#lhc|13|True|1|416.02045390863714
479997|2015-11-27|('46.889', '10.500')|#nauders|6|True|1|415.849459764863
506056|2015-12-11|('47.560', '7.583')|#fb|5|True|1|414.5171305131899
319046|2015-08-16|('47.377', '8.537')|#rogerscup|11|True|1|413.8088167699515
384286|2015-09-13|('46.255', '6.057')|#lhc|25|True|1|413.465344725394
298945|2015-08-06|('46.205', '6.143')|#genelecsl|7|True|1|413.3191716769704
271181|2015-07-23|('46.255', '6.057')|#lhc|15|True|1|413.1640757751224
532244|2015-12-26|('46.560', '7.894')|#berneseoberland|8|True|1|412.7265925994051
305118|2015-08-09|('46.255', '6.057')|#lhc|18|True|1|412.0200007505928
311139|2015-08-12|('46.255', '6.057')|#lhc|16|True|1|411.7468270839683
241814|2015-07-08|('46.205', '6.143')|#asile|5|True|1|411.4061462296784
154279|2015-05-26|('47.366', '9.706')|#semih|7|True|1|411.0567560852832
125546|2015-05-11|('46.255', '6.057')|#lhc|23|True|1|409.9823289118127
131318|2015-05-14|('46.205', '6.143')|#srilanka|5|True|1|409.0741141216887
131319|2015-05-14|('46.205', '6.143')|#lka|5|True|1|409.0741141216887
7400|2015-01-06|('46.813', '8.224')|#joke|5|True|1|408.3318966777448
53069|2015-02-14|('46.434', '9.040')|#sanremo2015|10|True|1|407.62058223099245
449227|2015-11-13|('47.135', '8.526')|#purpose|11|True|1|407.61021153235913
140065|2015-05-19|('46.255', '6.057')|#lhc|14|True|1|407.1605130065505
339463|2015-08-25|('46.255', '6.057')|#lhc|26|True|1|406.62657230779735
475911|2015-11-25|('46.520', '6.633')|#lausanne|7|True|1|406.451187810495
527688|2015-12-23|('46.206', '6.142')|#geneve|7|True|1|406.28239278496284
423656|2015-10-31|('46.106', '7.084')|#shadowhunters|7|True|1|405.73284457608366
452005|2015-11-14|('46.255', '6.057')|#lhc|8|True|1|405.3901671495348
503981|2015-12-10|('47.046', '8.309')|#luzern|5|True|1|403.76453754357607
106953|2015-04-30|('47.208', '9.533')|#liechtenstein|10|True|1|403.30799963482553
493089|2015-12-04|('47.482', '8.166')|#mtvstars|26|True|1|403.13306714759466
408784|2015-10-24|('46.255', '6.057')|#lhc|23|True|1|401.97638584804724
130925|2015-05-14|('46.255', '6.057')|#lhc|23|True|1|401.6435912810502
515498|2015-12-16|('46.205', '6.143')|#cruzcrew|6|True|1|400.91490630651964
404262|2015-09-22|('47.377', '8.537')|#emabiggestfansjustinbieber|5|True|1|400.3880673102589
467782|2015-11-21|('46.205', '6.143')|#askbelieber|5|True|1|399.3808017975382
375807|2015-09-09|('46.255', '6.057')|#lhc|19|True|1|398.6437046008794
113658|2015-05-04|('47.619', '10.501')|#fifa|5|True|1|397.8523885116746
354279|2015-08-30|('47.560', '7.583')|#sheskindahotvma|15|True|1|397.59688888913735
147900|2015-05-23|('46.255', '6.057')|#lhc|28|True|1|397.0242664821208
382364|2015-09-12|('46.255', '6.057')|#lhc|31|True|1|394.39910695747255
331929|2015-08-22|('46.255', '6.057')|#lhc|22|True|1|393.77226509921144
465353|2015-11-20|('47.557', '7.593')|#basel|5|True|1|393.57840450015664
395496|2015-09-18|('46.255', '6.057')|#lhc|13|True|1|392.5292519784699
60130|2015-02-18|('46.813', '8.224')|#jusprimaenoctis|7|True|1|391.5086168300184
461195|2015-11-18|('46.255', '6.057')|#lhc|8|True|1|391.0519788142602
431425|2015-11-04|('47.722', '7.283')|#awardreturnees|5|True|1|390.50984275545335
519094|2015-12-18|('47.500', '8.738')|#winterthur|6|True|1|390.0097115857153
540219|2015-12-31|('46.793', '9.822')|#davos|5|True|1|389.88724928568195
227528|2015-07-01|('45.798', '8.882')|#esistendo|5|True|1|389.22458489783105
444946|2015-11-11|('47.377', '8.537')|#ihd15|7|True|1|388.85280163304526
475942|2015-11-25|('46.947', '7.444')|#bern|5|True|1|388.7976236781518
109940|2015-05-02|('46.255', '6.057')|#lhc|31|True|1|388.4550531878917
467783|2015-11-21|('46.205', '6.143')|#2016iszaynsyear|5|True|1|387.8529955479982
470296|2015-11-22|('46.255', '6.057')|#lhc|11|True|1|385.80153899190395
231646|2015-07-03|('46.255', '6.057')|#lhc|9|True|1|385.43794345897953
185434|2015-06-10|('47.366', '9.706')|#utopya|5|True|1|384.44943297020365
350566|2015-08-29|('46.093', '7.234')|#ixsdownhillcup|5|True|1|381.9740775963148
315171|2015-08-14|('46.255', '6.057')|#lhc|21|True|1|381.7458656815796
510251|2015-12-13|('45.833', '6.815')|#chamonix|5|True|1|381.4926795569681
140111|2015-05-19|('46.803', '7.160')|#dpi|13|True|1|381.31297623884535
183857|2015-06-09|('47.076', '7.320')|#fifawwc|7|True|1|380.60926350075226
519097|2015-12-18|('47.557', '7.593')|#basel|9|True|1|380.2920468875545
350568|2015-08-29|('46.093', '7.234')|#mtb|6|True|1|380.23920610324325
129085|2015-05-13|('46.255', '6.057')|#lhc|25|True|1|379.8538590177368
